repo,repo_id,host,host_source,host_checked
01org/opa-psm2,38628787,,,
02strich/pykerberos,16776709,,,
0no-co/graphql.web,616240118,,,
0no-co/wonka,122924504,,,
0x20f/paris,225930023,,,
101arrowz/fflate,291210874,,,
10der/homeassistant-custom_components-awtrix,748539167,,,
10gen/db-contrib-tool,,,,
10xgenomics/lz4-rs,238358601,,,
197g/static-alloc,196198464,,,
19h/zuse,253908611,,,
1aim/rust-regex-cache,96431354,,,
1password/arboard,277085996,,,
1password/password-rules-parser,309716551,,,
1password/sys-locale,367106577,,,
1password/typeshare,540976791,,,
23andme/yamale,16274633,,,
2dav/crabgrind,574791090,,,
3hren/msgpack-rust,32579343,,,
3rd-eden/colorspace,36500975,,,
3rd-eden/diagnostics,4994439,,,
3rd-eden/enabled,36492996,,,
3rd-eden/env-variable,20273203,,,
3rd-eden/find-package-json,41159011,,,
3rd-eden/fn.name,28397834,,,
3rd-eden/kuler,20248826,,,
3rd-eden/one-time,25160939,,,
3rd-eden/text-hex,20866342,,,
3rd-eden/useragent,643395,,,
43081j/fast-wrap-ansi,1031524563,,,
4creators/jxrlib,92637941,,,
4ldo2/ioslice-rs,293820388,,,
567-labs/instructor,653589102,,,
56quarters/cadence,47361876,,,
59naga/babel-plugin-add-module-exports,45929652,,,
5afe/pysha3,561391746,,,
6d7a/xml-no-std,755494878,,,
75lb/array-back,38396773,,,
75lb/byte-size,20602823,,,
75lb/command-line-args,20200164,,,
75lb/command-line-usage,38204029,,,
75lb/find-replace,38397763,,,
75lb/reduce-flatten,52545009,,,
75lb/table-layout,38181008,,,
75lb/typical,20617163,,,
75lb/wordwrapjs,41451158,,,
7rulnik/source-map-js,330043541,,,
823984418/const_soft_float,598658503,,,
a-kenji/tui-term,641963486,,,
a11yance/aria-query,79065400,,,
a11yance/axobject-query,86610677,,,
a1ien/rusb,199290389,,,
a1phyr/eazip,1158089151,,,
a1phyr/sync_file,388136792,,,
a2aproject/a2a-python,980428225,,,
a8m/pb,44270224,,,
aa-turner/roman-numerals,886016420,,,
aackerman/circular-dependency-plugin,32899244,,,
aaronabramov/k9,256895746,,,
aaronmansfield5/humanisejs-npm-package,761213783,,,
abakay/irx-config,442041770,,,
abarker/strip-hints,105103879,,,
abaumhauer/eui48,51624605,,,
abbr/deasync,18046972,,,
abdolence/gcloud-sdk-rs,510134532,,,
abdolence/secret-vault-rs,516066131,,,
abersheeran/a2wsgi,260641824,,,
abetlen/llama-cpp-python,617868717,,,
abhimanyuhk/aws-psycopg2,166039462,,,
abhinavk99/jikanpy,107573086,,,
abonander/buf_redux,51236979,,,
abonander/const-cstr,43275596,,,
abonander/mime_guess,31439722,,,
abonander/multipart,25510903,,,
abonander/safemem,67845933,,,
aboutcode-org/license-expression,66389094,,,
aboutcode-org/pip-requirements-parser,448383893,,,
aboutcode-org/python-publicsuffix2,36842215,,,
abramenal/cypress-file-upload,167539964,,,
abravalheri/ini2toml,416089353,,,
abseil/abseil-cpp,104231541,,,
abseil/abseil-py,104132246,,,
absolucy/nanorand-rs,294486022,,,
absolucy/tracing-oslog,407903550,,,
abstractumbra/audioop,668651524,,,
academysoftwarefoundation/imath,271841243,,,
academysoftwarefoundation/openexr,3533348,lf,project_list,2026-06-29T23:07:34+00:00
acatton/serde-yaml-ng,795720278,,,
accesskit/accesskit,379327986,,,
acdenissk/uwl,141566691,,,
acdlite/change-emitter,58842498,,,
acdlite/recompose,43797718,,,
aceakash/string-similarity,27046827,,,
achanda/ipnetwork,34147700,,,
achreto/rust-armv8,518952059,,,
acidic9/bae,416021161,,,
aclysma/basis-universal-rs,338708803,,,
aclysma/profiling,316026812,,,
aclysma/wepoll-ffi,370550195,,,
acornjs/acorn,5932749,,,
acornjs/acorn-jsx,22187098,,,
acryldata/avro_gen,335396215,,,
acsone/msgraphfs,994847249,,,
actions/toolkit,182299236,,,
activestate/appdirs,802133,psf,domain,2026-06-29T23:07:58+00:00
actix/actix,103894697,,,
actix/actix-extras,236953554,,,
actix/actix-net,145325275,,,
actix/actix-web,105379569,,,
actyx/sync_wrapper,264497171,,,
acw/simple_asn1,110758157,,,
ada-url/ada,579485798,,,
adah1972/libunibreak,5385649,,,
adaltas/node-csv,938475,,,
adaltas/node-http-status,1527743,,,
adamchainz/django-cors-headers,7701103,,,
adamchainz/ec2-metadata,94463832,,,
adamchainz/flake8-comprehensions,55505248,,,
adamchainz/time-machine,259841110,,,
adamcrume/java-properties,50632306,,,
adamgruber/mochawesome,30518389,,,
adamgruber/mochawesome-report-generator,64079930,,,
adamreisnz/replace-in-file,38025845,,,
adamwdraper/numeral-js,6036101,,,
adbar/htmldate,101302023,,,
addaleax/eventemitter-asyncresource,262455568,,,
addaleax/nice-napi,265984966,,,
addr-rs/addr,78164217,,,
addr-rs/psl,343254597,,,
addr-rs/psl-types,347179920,,,
adityarathod/pyandoc,1034025,psf,domain,2026-06-29T23:07:58+00:00
adobe/css-tools,501776658,,,
adobe/react-spectrum,208362715,,,
adraffy/ens-normalize.js,430498625,,,
adriantoine/enzyme-to-json,67807611,,,
adrienverge/yamllint,49412249,,,
aduh95/ecc-jsbn,17422085,,,
adwhit/diesel-derive-enum,116128188,,,
aeledfyr/deepsize,167108570,,,
aembke/fred-macros,847873016,,,
aembke/fred.rs,395193062,,,
aembke/redis-protocol.rs,150029235,,,
aeon-toolkit/aeon,580387696,,,
aerialx/const-default.rs,214687701,,,
aetf/unicode-truncate,202451515,,,
afc163/array-tree-filter,48499522,,,
agentzh/echo-nginx-module,318905,,,
agerasev/ringbuf,164776897,,,
agronholm/anyio,145337588,,,
agronholm/apscheduler,54828252,,,
agronholm/cbor2,60716223,,,
agronholm/exceptiongroup,447694800,,,
agronholm/pythonfutures,32186645,,,
agronholm/typeguard,48664140,,,
agrueneberg/corser,2593318,,,
aheckmann/regexp-clone,9507856,,,
aheckmann/sliced,6007081,,,
ahl/does-it-json,507080977,,,
ahl/schema,349639208,,,
ahmadnassri/har-schema,63372119,,,
ahmadnassri/node-glob-promise,37749193,,,
ahmadnassri/node-har-validator,30582954,,,
ahupp/python-magic,589189,,,
ai/nanoid,99401299,,,
aikoven/assert-never,86331617,,,
aio-libs-abandoned/aioredis-py,20163574,,,
aio-libs-abandoned/async-timeout,67703198,,,
