"project","language","github_repo","repo_id","main_repo","homepage","fetched_at"
"aptos-core","rust","aptos-labs/aptos-core","","https://github.com/aptos-labs/aptos-core","https://aptos.dev","2026-05-31T14:41:16+01:00"
"archaius-core","jvm","Netflix/archaius","","https://github.com/Netflix/archaius.git","https://github.com/Netflix/archaius","2026-05-31T14:41:16+01:00"
"arduinojson","c++","bblanchon/ArduinoJson","","https://github.com/bblanchon/ArduinoJson.git","https://github.com/bblanchon/ArduinoJson","2026-05-31T14:41:16+01:00"
"argcomplete","python","kislyuk/argcomplete","6762625","https://github.com/kislyuk/argcomplete","https://github.com/kislyuk/argcomplete","2026-05-31T14:41:16+01:00"
"argo","go","","","https://github.com/argoproj","https://argoproj.github.io/","2026-05-31T14:41:16+01:00"
"args","c++","Taywee/args","","https://github.com/Taywee/args","https://taywee.github.io/args/","2026-05-31T14:41:16+01:00"
"args4j","jvm","kohsuke/args4j","","https://github.com/kohsuke/args4j","https://github.com/kohsuke/args4j","2026-05-31T14:41:16+01:00"
"arrow","c++","apache/arrow","51905353","https://github.com/apache/arrow.git","https://arrow.apache.org/","2026-05-31T14:41:16+01:00"
"arrow-java","jvm","apache/arrow-java","","https://github.com/apache/arrow-java","https://arrow.apache.org/","2026-05-31T14:41:16+01:00"
"arrow-py","python","arrow-py/arrow","6750871","https://github.com/arrow-py/arrow","https://github.com/arrow-py/arrow","2026-05-31T14:41:16+01:00"
"askama","rust","askama-rs/askama","816314127","https://github.com/askama-rs/askama","https://askama.readthedocs.io/","2026-05-31T14:41:16+01:00"
"asn1crypto","python","wbond/asn1crypto","36823669","https://github.com/wbond/asn1crypto","https://github.com/wbond/asn1crypto","2026-05-31T14:41:16+01:00"
"aspectj","jvm","eclipse/org","","https://github.com/eclipse/org.aspectj","https://www.eclipse.org/aspectj/","2026-05-31T14:41:16+01:00"
"aspell","c++","gnuaspell/aspell","76153145","https://github.com/gnuaspell/aspell.git","https://github.com/GNUAspell/aspell","2026-05-31T14:41:16+01:00"
"assimp","c++","assimp/assimp","648332","https://github.com/assimp/assimp","https://github.com/assimp/assimp","2026-05-31T14:41:16+01:00"
"astc-encoder","c++","ARM-software/astc-encoder","","https://github.com/ARM-software/astc-encoder","https://github.com/ARM-software/astc-encoder","2026-05-31T14:41:16+01:00"
"asteval","python","newville/asteval","","https://github.com/newville/asteval","https://github.com/newville/asteval","2026-05-31T14:41:16+01:00"
"astro-compiler","go","withastro/compiler","","https://github.com/withastro/compiler","https://github.com/withastro/compiler","2026-05-31T14:41:16+01:00"
"astroid","python","pylint-dev/astroid","47649855","https://github.com/pylint-dev/astroid","https://github.com/pylint-dev/astroid","2026-05-31T14:41:16+01:00"
"asttokens","python","gristlabs/asttokens","75670732","https://github.com/gristlabs/asttokens","https://github.com/gristlabs/asttokens","2026-05-31T14:41:16+01:00"
"async-http-client","jvm","AsyncHttpClient/async-http-client","","https://github.com/AsyncHttpClient/async-http-client/","https://github.com/AsyncHttpClient/async-http-client/","2026-05-31T14:41:16+01:00"
"atomic","go","uber-go/atomic","","https://github.com/uber-go/atomic","https://github.com/uber-go/atomic","2026-05-31T14:41:16+01:00"
"attrs","python","python-attrs/attrs","29918975","https://github.com/python-attrs/attrs.git","https://www.attrs.org","2026-05-31T14:41:16+01:00"
"augeas","c++","hercules-team/augeas","59056","https://github.com/hercules-team/augeas","https://github.com/hercules-team/augeas","2026-05-31T14:41:16+01:00"
"autoflake","python","PyCQA/autoflake","7335450","https://www.github.com/PyCQA/autoflake","https://www.github.com/PyCQA/autoflake","2026-05-31T14:41:16+01:00"
"autopep8","python","hhatto/autopep8","1206729","https://github.com/hhatto/autopep8","https://github.com/hhatto/autopep8","2026-05-31T14:41:16+01:00"
"avahi","c++","avahi/avahi","27156301","https://github.com/avahi/avahi","https://avahi.org/","2026-05-31T14:41:16+01:00"
"avro","jvm","apache/avro","206459","https://github.com/apache/avro","https://avro.apache.org/","2026-05-31T14:41:16+01:00"
"azure-sdk-for-python","python","azure/azure-sdk-for-python","4127088","https://github.com/azure/azure-sdk-for-python","https://github.com/azure/azure-sdk-for-python","2026-05-31T14:41:16+01:00"
"babel","python","python-babel/babel","11150301","https://github.com/python-babel/babel","https://github.com/python-babel/babel","2026-05-31T14:41:16+01:00"
"bad_example","c++","madler/zlib","2359378","https://github.com/madler/zlib","http://www.zlib.net/","2026-05-31T14:41:16+01:00"
"bazel-rules-fuzzing-test","c++","bazelbuild/rules_fuzzing","","https://github.com/bazelbuild/rules_fuzzing","https://github.com/bazelbuild/rules_fuzzing","2026-05-31T14:41:16+01:00"
"bazel-rules-fuzzing-test-java","jvm","bazelbuild/rules_fuzzing","","https://github.com/bazelbuild/rules_fuzzing","https://github.com/bazelbuild/rules_fuzzing","2026-05-31T14:41:16+01:00"
"bc-gh","c","gavinhoward/bc","","https://github.com/gavinhoward/bc","https://git.gavinhoward.com/gavin/bc","2026-05-31T14:41:16+01:00"
"bc-java","jvm","bcgit/bc-java","","https://github.com/bcgit/bc-java.git","https://www.bouncycastle.org/","2026-05-31T14:41:16+01:00"
"bearssl","c++","","","https://www.bearssl.org/git/BearSSL","https://bearssl.org/","2026-05-31T14:41:16+01:00"
"behaviortreecpp","c++","BehaviorTree/BehaviorTree","","https://github.com/BehaviorTree/BehaviorTree.CPP","https://www.behaviortree.dev/","2026-05-31T14:41:16+01:00"
"bignum-fuzzer","c++","guidovranken/bignum-fuzzer","","https://github.com/guidovranken/bignum-fuzzer","https://github.com/guidovranken/bignum-fuzzer","2026-05-31T14:41:16+01:00"
"bincode","rust","","","https://git.sr.ht/~stygianentity/bincode","https://git.sr.ht/~stygianentity/bincode","2026-05-31T14:41:16+01:00"
"bind9","c","","","https://gitlab.isc.org/isc-projects/bind9.git","https://gitlab.isc.org/isc-projects/bind9","2026-05-31T14:41:16+01:00"
"binutils","c++","bminor/binutils-gdb","","https://github.com/bminor/binutils-gdb","https://www.gnu.org/software/binutils/","2026-05-31T14:41:16+01:00"
"bios-bmc-smm-error-logger","c++","javanlacerda/bios-bmc-smm-error-logger","","https://github.com/javanlacerda/bios-bmc-smm-error-logger","https://github.com/openbmc/docs/blob/master/designs/bios-bmc-smm-error-logging.md","2026-05-31T14:41:16+01:00"
"bitcoin-core","c++","bitcoin/bitcoin","","https://github.com/bitcoin/bitcoin.git","https://bitcoincore.org/","2026-05-31T14:41:16+01:00"
"black","python","psf/black","125266328","https://github.com/psf/black","https://github.com/psf/black","2026-05-31T14:41:16+01:00"
"blackfriday","go","russross/blackfriday","","https://github.com/russross/blackfriday","https://github.com/russross/blackfriday","2026-05-31T14:41:16+01:00"
"bleach","python","mozilla/bleach","525316","https://github.com/mozilla/bleach","https://github.com/mozilla/bleach","2026-05-31T14:41:16+01:00"
"bloaty","c++","google/bloaty","","https://github.com/google/bloaty.git","https://github.com/google/bloaty","2026-05-31T14:41:16+01:00"
"bls-signatures","c++","supranational/blst","274175095","https://github.com/supranational/blst.git","https://github.com/supranational/blst","2026-05-31T14:41:16+01:00"
"bluez","c","bluez/bluez","219718895","https://github.com/bluez/bluez","https://github.com/bluez/bluez","2026-05-31T14:41:16+01:00"
"bmcweb","c++","openbmc/bmcweb","","https://github.com/openbmc/bmcweb.git","https://github.com/openbmc/bmcweb","2026-05-31T14:41:16+01:00"
"boost","c++","boostorg/boost","7590028","https://github.com/boostorg/boost.git","http://www.boost.org/","2026-05-31T14:41:16+01:00"
"boost-beast","c++","boostorg/beast","","https://github.com/boostorg/beast.git","https://www.boost.org/","2026-05-31T14:41:16+01:00"
"boost-json","c++","boostorg/json","","https://github.com/boostorg/json.git","http://www.boost.org/","2026-05-31T14:41:16+01:00"
"boringssl","c++","","","https://boringssl.googlesource.com/boringssl","https://boringssl.googlesource.com/boringssl/","2026-05-31T14:41:16+01:00"
"botan","c++","randombit/botan","8608254","https://github.com/randombit/botan.git","https://botan.randombit.net","2026-05-31T14:41:16+01:00"
"botocore","python","boto/botocore","6670942","https://github.com/boto/botocore","https://github.com/boto/botocore","2026-05-31T14:41:16+01:00"
"bottleneck","python","pydata/bottleneck","1117948","https://github.com/pydata/bottleneck","https://github.com/pydata/bottleneck","2026-05-31T14:41:16+01:00"
"brotli","c++","google/brotli","24993138","https://github.com/google/brotli.git","https://github.com/google/brotli","2026-05-31T14:41:16+01:00"
"brotli-java","jvm","google/brotli","24993138","https://github.com/google/brotli","https://github.com/google/brotli/tree/master/java","2026-05-31T14:41:16+01:00"
"brpc","c++","apache/incubator-brpc","","https://github.com/apache/incubator-brpc","https://brpc.apache.org","2026-05-31T14:41:16+01:00"
"brunsli","c++","google/brunsli","","https://github.com/google/brunsli.git","https://github.com/google/brunsli","2026-05-31T14:41:16+01:00"
"bs4","python","","","https://code.launchpad.net/~leonardr/beautifulsoup/bs4","https://www.crummy.com/software/BeautifulSoup/","2026-05-31T14:41:16+01:00"
"bson-rust","rust","mongodb/bson-rust","33628160","https://github.com/mongodb/bson-rust","https://github.com/mongodb/bson-rust","2026-05-31T14:41:16+01:00"
"burntsushi-toml","go","BurntSushi/toml","","https://github.com/BurntSushi/toml","https://github.com/BurntSushi/toml","2026-05-31T14:41:16+01:00"
"bz2file","python","nvawda/bz2file","3299505","https://github.com/nvawda/bz2file","https://github.com/nvawda/bz2file","2026-05-31T14:41:16+01:00"
"bzip2","c++","","","","https://sourceware.org/bzip2/","2026-05-31T14:41:16+01:00"
"c-ares","c++","c-ares/c-ares","571708","https://github.com/c-ares/c-ares.git","https://c-ares.haxx.se/","2026-05-31T14:41:16+01:00"
"c-blosc","c++","Blosc/c-blosc","1990838","https://github.com/Blosc/c-blosc.git","https://github.com/Blosc/c-blosc","2026-05-31T14:41:16+01:00"
"c-blosc2","c++","Blosc/c-blosc2","","https://github.com/Blosc/c-blosc2.git","https://github.com/Blosc/c-blosc2","2026-05-31T14:41:16+01:00"
"cachetools","python","tkem/cachetools","18006791","https://github.com/tkem/cachetools/","https://github.com/tkem/cachetools/","2026-05-31T14:41:16+01:00"
"caddy","go","caddyserver/caddy","","https://github.com/caddyserver/caddy.git","https://caddyserver.com/","2026-05-31T14:41:16+01:00"
"caffeine","jvm","ben-manes/caffeine","","https://github.com/ben-manes/caffeine.git","https://github.com/ben-manes/caffeine","2026-05-31T14:41:16+01:00"
"cairo","c","","","https://gitlab.freedesktop.org/cairo/cairo.git","https://gitlab.freedesktop.org/cairo/cairo","2026-05-31T14:41:16+01:00"
"calcite","jvm","apache/calcite","","https://github.com/apache/calcite/","https://calcite.apache.org/","2026-05-31T14:41:16+01:00"
"calcite-avatica","jvm","apache/calcite-avatica","","https://github.com/apache/calcite-avatica","https://github.com/apache/calcite-avatica","2026-05-31T14:41:16+01:00"
"canvg","javascript","canvg/canvg","27681516","https://github.com/canvg/canvg","https://canvg.js.org/","2026-05-31T14:41:16+01:00"
"capnproto","c++","capnproto/capnproto","","https://github.com/capnproto/capnproto","https://capnproto.org","2026-05-31T14:41:16+01:00"
"capstone","c++","capstone-engine/capstone","14735429","https://github.com/capstone-engine/capstone.git","https://www.capstone-engine.org","2026-05-31T14:41:16+01:00"
"cascadia","go","andybalholm/cascadia","","https://github.com/andybalholm/cascadia","https://github.com/andybalholm/cascadia","2026-05-31T14:41:16+01:00"
"casync","c++","systemd/casync","","https://github.com/systemd/casync","https://github.com/casync/casync","2026-05-31T14:41:16+01:00"
"catapult","","nemtech/catapult-server","","https://github.com/nemtech/catapult-server","https://github.com/nemtech/catapult-server","2026-05-31T14:41:16+01:00"
"cbor-java","jvm","","","https://android.googlesource.com/platform/external/cbor-java/+/refs/heads/master","https://android.googlesource.com/platform/external/cbor-java/+/refs/heads/master","2026-05-31T14:41:16+01:00"
"cbor2","python","agronholm/cbor2","60716223","https://github.com/agronholm/cbor2","https://github.com/agronholm/cbor2","2026-05-31T14:41:16+01:00"
"cctz","c++","google/cctz","","https://github.com/google/cctz","https://github.com/google/cctz","2026-05-31T14:41:16+01:00"
"cel-cpp","c++","google/cel-cpp","","https://github.com/google/cel-cpp","https://cel.dev","2026-05-31T14:41:16+01:00"
"cel-go","go","google/cel-go","","https://github.com/google/cel-go","https://opensource.google/projects/cel","2026-05-31T14:41:16+01:00"
"cert-manager","go","cert-manager/cert-manager","","https://github.com/cert-manager/cert-manager","https://cert-manager.io","2026-05-31T14:41:16+01:00"
"cfengine","c++","cfengine/core","","https://github.com/cfengine/core","https://github.com/cfengine/core","2026-05-31T14:41:16+01:00"
"cffi","python","","","https://foss.heptapod.net/pypy/cffi","https://foss.heptapod.net/pypy/cffi","2026-05-31T14:41:16+01:00"
"cgif","c","dloebl/cgif","378709850","https://github.com/dloebl/cgif.git","https://github.com/dloebl/cgif","2026-05-31T14:41:16+01:00"
"cglib","jvm","cglib/cglib","","https://github.com/cglib/cglib","https://github.com/cglib/cglib/wiki","2026-05-31T14:41:16+01:00"
"chardet","python","erikrose/chardet","","https://github.com/erikrose/chardet","https://github.com/erikrose/chardet","2026-05-31T14:41:16+01:00"
"charset_normalizer","python","jawah/charset_normalizer","200259335","https://github.com/jawah/charset_normalizer","https://github.com/jawah/charset_normalizer","2026-05-31T14:41:16+01:00"
"checker-framework","jvm","typetools/checker-framework","","git@github.com:typetools/checker-framework.git","https://github.com/typetools/checker-framework","2026-05-31T14:41:16+01:00"
"checkstyle","jvm","checkstyle/checkstyle","","https://github.com/checkstyle/checkstyle","https://github.com/checkstyle/checkstyle","2026-05-31T14:41:16+01:00"
"chrono","rust","chronotope/chrono","18210201","https://github.com/chronotope/chrono.git","https://github.com/chronotope/chrono","2026-05-31T14:41:16+01:00"
"cifuzz-example","c++","jonathanmetzman/cifuzz-example","","https://github.com/jonathanmetzman/cifuzz-example.git","","2026-05-31T14:41:16+01:00"
"cilium","go","cilium/cilium","","https://github.com/cilium/cilium.git","https://cilium.io","2026-05-31T14:41:16+01:00"
"circl","c++","cloudflare/circl","","https://github.com/cloudflare/circl.git","https://github.com/cloudflare/circl","2026-05-31T14:41:16+01:00"
"cirq","python","quantumlib/Cirq","","https://github.com/quantumlib/Cirq.git","https://github.com/quantumlib/Cirq","2026-05-31T14:41:16+01:00"
"civetweb","c","civetweb/civetweb","","https://github.com/civetweb/civetweb","https://github.com/civetweb/civetweb","2026-05-31T14:41:16+01:00"
"cjson","c++","DaveGamble/cJSON","54280778","https://github.com/DaveGamble/cJSON.git","https://github.com/DaveGamble/cJSON","2026-05-31T14:41:16+01:00"
"clamav","c++","Cisco-Talos/clamav-devel","","https://github.com/Cisco-Talos/clamav-devel.git","https://www.clamav.net/","2026-05-31T14:41:16+01:00"
"clib","c","clibs/clib","","https://github.com/clibs/clib","https://github.com/clibs/clib","2026-05-31T14:41:16+01:00"
"click","python","pallets/click","19103692","https://github.com/pallets/click","https://github.com/pallets/click","2026-05-31T14:41:16+01:00"
"clickhouse","c++","ClickHouse/ClickHouse","","https://github.com/ClickHouse/ClickHouse.git","https://clickhouse.com/","2026-05-31T14:41:16+01:00"
"clock","go","benbjohnson/clock","","https://github.com/benbjohnson/clock","https://github.com/benbjohnson/clock","2026-05-31T14:41:16+01:00"
"closure-compiler","jvm","google/closure-compiler","","https://github.com/google/closure-compiler/","https://developers.google.com/closure/compiler/","2026-05-31T14:41:16+01:00"
"closure-library","javascript","google/closure-library","","https://github.com/google/closure-library","https://developers.google.com/closure/library/","2026-05-31T14:41:16+01:00"
"cloud-custodian","python","cloud-custodian/cloud-custodian","52837350","https://github.com/cloud-custodian/cloud-custodian","https://github.com/cloud-custodian/cloud-custodian","2026-05-31T14:41:16+01:00"
"cloud-hypervisor","rust","cloud-hypervisor/cloud-hypervisor","","https://github.com/cloud-hypervisor/cloud-hypervisor","https://github.com/cloud-hypervisor/cloud-hypervisor","2026-05-31T14:41:16+01:00"
"cmake","c++","","","https://gitlab.kitware.com/cmake/cmake","https://gitlab.kitware.com/cmake/cmake","2026-05-31T14:41:16+01:00"
"cmark","c++","commonmark/cmark","29804085","https://github.com/commonmark/cmark.git","http://commonmark.org","2026-05-31T14:41:16+01:00"
"cockroachdb","go","cockroachdb/cockroach","","https://github.com/cockroachdb/cockroach.git","https://www.cockroachlabs.com/","2026-05-31T14:41:16+01:00"
"compress","go","klauspost/compress","","https://github.com/klauspost/compress","https://github.com/klauspost/compress","2026-05-31T14:41:16+01:00"
"config-validator","go","GoogleCloudPlatform/config-validator","","https://github.com/GoogleCloudPlatform/config-validator/","https://github.com/GoogleCloudPlatform/config-validator/","2026-05-31T14:41:16+01:00"
"configparser","python","jaraco/configparser","167204128","https://github.com/jaraco/configparser/","https://github.com/jaraco/configparser/","2026-05-31T14:41:16+01:00"
"connectedhomeip","c++","project-chip/connectedhomeip","","https://github.com/project-chip/connectedhomeip.git","https://buildwithmatter.com/","2026-05-31T14:41:16+01:00"
"connexion","python","spec-first/connexion","35882519","https://github.com/spec-first/connexion","https://github.com/spec-first/connexion","2026-05-31T14:41:16+01:00"
"containerd","go","containerd/containerd","","https://github.com/containerd/containerd","https://github.com/containerd/containerd","2026-05-31T14:41:16+01:00"
"coreutils","","coreutils/coreutils","11233590","https://github.com/coreutils/coreutils","http://www.gnu.org/software/coreutils/","2026-05-31T14:41:16+01:00"
"cosign","go","sigstore/cosign","","https://github.com/sigstore/cosign","https://sigstore.dev","2026-05-31T14:41:16+01:00"
"cosmos-sdk","go","cosmos/cosmos-sdk","","https://github.com/cosmos/cosmos-sdk","https://github.com/cosmos/cosmos-sdk","2026-05-31T14:41:16+01:00"
"coturn","c","coturn/coturn","","https://github.com/coturn/coturn","https://github.com/coturn/coturn","2026-05-31T14:41:16+01:00"
"coveragepy","python","nedbat/coveragepy","138421996","https://github.com/nedbat/coveragepy","https://github.com/nedbat/coveragepy/","2026-05-31T14:41:16+01:00"
"cpp-httplib","c++","yhirose/cpp-httplib","","https://github.com/yhirose/cpp-httplib.git","https://github.com/yhirose/cpp-httplib","2026-05-31T14:41:16+01:00"
"cppcheck","c++","cppcheck-opensource/cppcheck","","https://github.com/cppcheck-opensource/cppcheck.git","https://cppcheck.sourceforge.net","2026-05-31T14:41:16+01:00"
"cppitertools","c++","ryanhaining/cppitertools","","https://github.com/ryanhaining/cppitertools","https://github.com/ryanhaining/cppitertools","2026-05-31T14:41:16+01:00"
"cpuinfo","c","pytorch/cpuinfo","83772175","https://github.com/pytorch/cpuinfo","https://github.com/pytorch/cpuinfo","2026-05-31T14:41:16+01:00"
"cpython3","c++","python/cpython","81598961","https://github.com/python/cpython","https://python.org/","2026-05-31T14:41:16+01:00"
"cras","rust","","","https://chromium.googlesource.com/chromiumos/third_party/adhd","https://www.chromium.org","2026-05-31T14:41:16+01:00"
"cri-o","go","cri-o/cri-o","","https://github.com/cri-o/cri-o","https://cri-o.io/","2026-05-31T14:41:16+01:00"
"croaring","c","RoaringBitmap/CRoaring","","https://github.com/RoaringBitmap/CRoaring","https://roaringbitmap.org","2026-05-31T14:41:16+01:00"
"cron-utils","jvm","jmrozanec/cron-utils","","https://github.com/jmrozanec/cron-utils.git","https://github.com/jmrozanec/cron-utils","2026-05-31T14:41:16+01:00"
"croniter","python","kiorky/croniter","","https://github.com/kiorky/croniter","https://github.com/kiorky/croniter","2026-05-31T14:41:16+01:00"
"crossplane","go","crossplane/crossplane","","https://github.com/crossplane/crossplane","https://github.com/crossplane/crossplane","2026-05-31T14:41:16+01:00"
"crosvm","rust","","","https://chromium.googlesource.com/crosvm/crosvm","http://crosvm.dev","2026-05-31T14:41:16+01:00"
"crow","c++","CrowCpp/Crow","","https://github.com/CrowCpp/Crow","https://crowcpp.org/master/","2026-05-31T14:41:16+01:00"
"cryptofuzz","c++","guidovranken/cryptofuzz","","https://github.com/guidovranken/cryptofuzz","https://github.com/guidovranken/cryptofuzz","2026-05-31T14:41:16+01:00"
"cryptography","python","pyca/cryptography","11939484","https://github.com/pyca/cryptography","https://github.com/pyca/cryptography","2026-05-31T14:41:16+01:00"
"cryptsetup","c","","","https://gitlab.com/cryptsetup/cryptsetup.git","https://gitlab.com/cryptsetup/cryptsetup","2026-05-31T14:41:16+01:00"
"cssselect","python","scrapy/cssselect","3991517","https://github.com/scrapy/cssselect","https://github.com/scrapy/cssselect","2026-05-31T14:41:16+01:00"
"cubefs","go","cubefs/cubefs","","https://github.com/cubefs/cubefs","https://github.com/cubefs/cubefs","2026-05-31T14:41:16+01:00"
"cups","c","OpenPrinting/cups","292664437","https://github.com/OpenPrinting/cups","https://openprinting.github.io/cups/","2026-05-31T14:41:16+01:00"
"cups-filters","c++","OpenPrinting/cups-filters","105824994","https://github.com/OpenPrinting/cups-filters.git","https://github.com/OpenPrinting/cups-filters","2026-05-31T14:41:16+01:00"
"cura-engine","c++","Ultimaker/CuraEngine","","https://github.com/Ultimaker/CuraEngine.git","https://github.com/Ultimaker/CuraEngine","2026-05-31T14:41:16+01:00"
"curl","c++","curl/curl","569041","https://github.com/curl/curl.git","https://curl.haxx.se/","2026-05-31T14:41:16+01:00"
"curvesapi","jvm","virtuald/curvesapi","","https://github.com/virtuald/curvesapi","https://github.com/virtuald/curvesapi","2026-05-31T14:41:16+01:00"
"cxxopts","c++","jarro2783/cxxopts","","https://github.com/jarro2783/cxxopts","https://github.com/jarro2783/cxxopts","2026-05-31T14:41:16+01:00"
"cyclonedds","c","eclipse-cyclonedds/cyclonedds","","https://github.com/eclipse-cyclonedds/cyclonedds.git","https://projects.eclipse.org/projects/iot.cyclonedds","2026-05-31T14:41:16+01:00"
