slug,name,github_owner,github_repo,github_url,fetched_at
1v1lol-gggithubio,1v1lol Gg.github.io,1v1lol-gg,1v1lol-gg/1v1lol-gg.github.io,https://github.com/1v1lol-gg/1v1lol-gg.github.io,2026-06-29T23:55:44+00:00
200611hacker8,200611hacker8,200611hacker8,200611hacker8/200611hacker8,https://github.com/200611hacker8/200611hacker8,2026-06-29T23:55:44+00:00
2133-blinkiebutton-forge,2133 Blinkie/Button Forge,numbpill3d,numbpill3d/2133-blinkie-button-forge,https://github.com/numbpill3d/2133-blinkie-button-forge,2026-06-29T23:55:44+00:00
227-wiki,22/7 WiKi,227wiki,227wiki/227wiki,https://github.com/227WiKi/227WiKi,2026-06-29T23:55:44+00:00
24pullrequests,24pullrequests,24pullrequests,,https://github.com/24pullrequests,2026-06-29T23:55:44+00:00
2b2tjb,2b2t JE&BE,2b2tjb,,https://github.com/2b2tjb,2026-06-29T23:55:44+00:00
2cap,2cap,minhlc997,minhlc997/2cap,https://github.com/Minhlc997/2cap,2026-06-29T23:55:44+00:00
301st,301.st,investblog,,https://github.com/investblog/,2026-06-29T23:55:44+00:00
314-education,314-education,314-education,,https://github.com/314-education,2026-06-29T23:55:44+00:00
3d-space,3d Space,amansingh0807,amansingh0807/3d-space,https://github.com/Amansingh0807/3d-space,2026-06-29T23:55:44+00:00
3dp-manager,3DP-MANAGER,denpiligrim,denpiligrim/3dp-manager,https://github.com/denpiligrim/3dp-manager,2026-06-29T23:55:44+00:00
3dvr,3dvr,tmsteph,tmsteph/3dvr,https://github.com/tmsteph/3dvr,2026-06-29T23:55:44+00:00
3os,3os,fire1ce,,https://github.com/fire1ce,2026-06-29T23:55:44+00:00
3trees,3Trees,3bases,3bases/3trees,https://github.com/3bases/3trees,2026-06-29T23:55:44+00:00
44,44,manuelgago67,manuelgago67/44,https://github.com/manuelgago67/44,2026-06-29T23:55:44+00:00
4awpawz,4awpawz,4awpawz,,https://github.com/4awpawz,2026-06-29T23:55:44+00:00
4k-video-upscaler-colab,4k Video Upscaler Colab,yuvraj108c,yuvraj108c/4k-video-upscaler-colab,https://github.com/yuvraj108c/4k-video-upscaler-colab,2026-06-29T23:55:44+00:00
511scom,511s,102248898,102248898/511s,https://github.com/102248898/511s,2026-06-29T23:55:44+00:00
5ire,5ire - A Sleek Desktop AI Assistant & MCP Client,nanbingxyz,nanbingxyz/5ire,https://github.com/nanbingxyz/5ire,2026-06-29T23:55:44+00:00
6363181876376381,6363181876376381,yojhatny,yojhatny/6363181876376381,https://github.com/Yojhatny/6363181876376381,2026-06-29T23:55:44+00:00
818nawaf,818Nawaf,818nawaf,818nawaf/818nawaf,https://github.com/818Nawaf/818Nawaf,2026-06-29T23:55:44+00:00
81pearls,Sharon Stout,sharonstout1981,,https://github.com/sharonstout1981,2026-06-29T23:55:44+00:00
8evz0,8evz0,8evz0,8evz0/os,https://github.com/8evz0/os,2026-06-29T23:55:44+00:00
8fold-open-source-software,8fold Open Source Software,8fold,,https://github.com/8fold,2026-06-29T23:55:44+00:00
_osvauld,Osvauld,osvauld,,https://github.com/osvauld,2026-06-29T23:55:44+00:00
_rpisurv_,Rpisurv,svenvd,svenvd/rpisurv,https://github.com/SvenVD/rpisurv,2026-06-29T23:55:44+00:00
_trunkform,_trunkform,trunkform,trunkform/trunkform,https://github.com/trunkform/trunkform,2026-06-29T23:55:44+00:00
a-dev,A-dev,abdellatif-temsamani,abdellatif-temsamani/adev.nvim,https://github.com/abdellatif-temsamani/adev.nvim,2026-06-29T23:55:44+00:00
a1memory,A1Memory,oneb1ank,oneb1ank/a1memory,https://github.com/OneB1ank/A1Memory,2026-06-29T23:55:44+00:00
aahmed,Ali Ahmed,aliahmedphd,,https://github.com/aliahmedphd,2026-06-29T23:55:44+00:00
aaronic-tech01,Aaronic Tech01,carcity04,carcity04/aaronic-tech01,https://github.com/carcity04/Aaronic-tech01,2026-06-29T23:55:44+00:00
aaru,Aaru,aaru-dps,,https://github.com/aaru-dps,2026-06-29T23:55:44+00:00
abap-observability-tools,abap-observability-tools,abap-observability-tools,,https://github.com/abap-observability-tools,2026-06-29T23:55:44+00:00
abarorm,Abarorm,prodbygodfather,prodbygodfather/abarorm,https://github.com/ProdByGodfather/abarorm,2026-06-29T23:55:44+00:00
abdullahhafizh,Abdullah Hafizh Collective,abdullahhafizh,,https://github.com/abdullahhafizh,2026-06-29T23:55:44+00:00
abdulmoez,abdulmoez,anonym0uswork1221,,https://github.com/Anonym0usWork1221,2026-06-29T23:55:44+00:00
abdulqayom,abdulqayom,swiper,,https://github.com/swiper,2026-06-29T23:55:44+00:00
abdulraheemnohri,abdulraheemnohri,abdulraheemnohri,abdulraheemnohri/nanoai-runtime-sdk,https://github.com/abdulraheemnohri/NanoAI-Runtime-SDK,2026-06-29T23:55:44+00:00
abduselamteyibcom,Abduselamteyib,abduselamteyib,abduselamteyib/abduselamteyib,https://github.com/abduselamteyib/abduselamteyib,2026-06-29T23:55:44+00:00
abelljs,Abell,abelljs,,https://github.com/abelljs,2026-06-29T23:55:44+00:00
abhijithvijayan,Abhijith Vijayan,abhijithvijayan,,https://github.com/abhijithvijayan,2026-06-29T23:55:44+00:00
abhyudaytripathi,Abhyuday Tripathi,abhyuday-tripathi,,https://github.com/abhyuday-tripathi,2026-06-29T23:55:44+00:00
abishuablessmic,Abishuablessmic,abishuablessmic,abishuablessmic/abishuablessmic,https://github.com/abishuablessmic/abishuablessmic,2026-06-29T23:55:44+00:00
abk-90,ABK 90,abrahem79,abrahem79/abk-90,https://github.com/abrahem79/ABK-90,2026-06-29T23:55:44+00:00
able,Able,umangrajpara13,umangrajpara13/able,https://github.com/UmangRajpara13/able,2026-06-29T23:55:44+00:00
abletoolkit,Abletoolkit,elzinko,elzinko/abletoolkit,https://github.com/elzinko/abletoolkit,2026-06-29T23:55:44+00:00
ablyjs,AblyJS,hackera316,hackera316/ablyjs,https://github.com/HACKERA316/ablyJS,2026-06-29T23:55:44+00:00
abmsourav,Keramot UL Islam,abmsourav,,https://github.com/AbmSourav,2026-06-29T23:55:44+00:00
abookmanager,aBookManager,august1251,august1251/abookmanager,https://github.com/August1251/aBookManager,2026-06-29T23:55:44+00:00
abotv12,Automod Bot,khanmanan,khanmanan/automod-bot,https://github.com/khanmanan/automod-bot,2026-06-29T23:55:44+00:00
abrahem,Abrahem,abrahem79,,https://github.com/abrahem79,2026-06-29T23:55:44+00:00
abrahem90,Abrahem90,abrahem79,abrahem79/abrahem90,https://github.com/abrahem79/Abrahem90,2026-06-29T23:55:44+00:00
abraina-client,ABRAINA Client,yimmasabi,yimmasabi/abraina,https://github.com/yimmasabi/abraina,2026-06-29T23:55:44+00:00
abstract,Abstract,markknd,,https://github.com/MarkKnd,2026-06-29T23:55:44+00:00
abstract-play,Abstract Play,abstractplay,abstractplay/gameslib,https://github.com/AbstractPlay/gameslib,2026-06-29T23:55:44+00:00
abulkhayer2244,AbulKhayer2244,abulkhayer2244,abulkhayer2244/abulkhayer2244,https://github.com/AbulKhayer2244/AbulKhayer2244,2026-06-29T23:55:44+00:00
abundancemarble,abundancemarble,abundancemarble,,https://github.com/abundancemarble,2026-06-29T23:55:44+00:00
abundancemarblecom,Abundance Marble,johnjamesna4122,johnjamesna4122/abundance-marble,https://github.com/johnjamesna4122/Abundance-Marble,2026-06-29T23:55:44+00:00
abusetotal,AbuseTotal,abusetotal,,https://github.com/AbuseTotal/,2026-06-29T23:55:44+00:00
abyss-tool,Abyss Tool,alinawan,alinawan/abyss-tool,https://github.com/AlinaWan/abyss-tool,2026-06-29T23:55:44+00:00
academeez,Academeez,ywarezk,ywarezk/academeez,https://github.com/ywarezk/academeez,2026-06-29T23:55:44+00:00
acadronmia,AcaDronMia,harmony365,harmony365/acadronmia,https://github.com/harmony365/AcaDronMia,2026-06-29T23:55:44+00:00
accel-ai,Accel AI Institute,accelai,,https://github.com/AccelAI,2026-06-29T23:55:44+00:00
accept,Accept Collective,dechomai,,https://github.com/dechomai,2026-06-29T23:55:44+00:00
accordproject,Accord Project,accordproject,,https://github.com/accordproject/,2026-06-29T23:55:44+00:00
accounts-js,accounts-js,accounts-js,accounts-js/accounts,https://github.com/accounts-js/accounts,2026-06-29T23:55:44+00:00
acgn-stock,acgn-stock,acgn-stock,acgn-stock/acgn-stock,https://github.com/ACGN-stock/acgn-stock,2026-06-29T23:55:44+00:00
acheronproject,Acheron Collective,acheronproject,,https://github.com/AcheronProject,2026-06-29T23:55:44+00:00
achiefs,Achiefs,achief,,https://github.com/achief,2026-06-29T23:55:44+00:00
achievka,Achievka,achievka,,https://github.com/Achievka,2026-06-29T23:55:44+00:00
achoirx,AChoirX,omenscan,omenscan/achoirx,https://github.com/OMENScan/AChoirX,2026-06-29T23:55:44+00:00
acidicmonkeys,AcidicMonkeys,theh2so4,,https://github.com/TheH2SO4,2026-06-29T23:55:44+00:00
acisel,ACISEL,chasset,,https://github.com/chasset,2026-06-29T23:55:44+00:00
ackninja,Ack,ack-ninja,,https://github.com/Ack-Ninja,2026-06-29T23:55:44+00:00
acmesh,acme.sh,neilpang,neilpang/acme.sh,https://github.com/Neilpang/acme.sh,2026-06-29T23:55:44+00:00
acridotheres,Acridotheres,acridotheres,acridotheres/acridotheres,https://github.com/acridotheres/acridotheres,2026-06-29T23:55:44+00:00
acrionapp,acrion.app,hotom83,hotom83/acrion.app,https://github.com/hotom83/acrion.app,2026-06-29T23:55:44+00:00
actionhero,Action Hero,actionhero,,https://github.com/actionhero,2026-06-29T23:55:44+00:00
actionshub,ActionsHub,actionshub,,https://github.com/actionshub/,2026-06-29T23:55:44+00:00
actionstack,actionstack,epikodelabs,epikodelabs/actionstack,https://github.com/epikodelabs/actionstack,2026-06-29T23:55:44+00:00
activeadmin,activeadmin,activeadmin,activeadmin/activeadmin,https://github.com/activeadmin/activeadmin,2026-06-29T23:55:44+00:00
activitywatch,ActivityWatch,activitywatch,,https://github.com/ActivityWatch,2026-06-29T23:55:44+00:00
actix,Actix,actix,,https://github.com/actix,2026-06-29T23:55:44+00:00
actual,Actual,actualbudget,,https://github.com/actualbudget,2026-06-29T23:55:44+00:00
actualize-earth,Actualize Earth,actualize-earth,actualize-earth/phi-ecosystem,https://github.com/actualize-earth/phi-ecosystem,2026-06-29T23:55:44+00:00
actuallycolab,Actually Colab,actually-colab,,https://github.com/actually-colab,2026-06-29T23:55:44+00:00
actuarial-open-source,Actuarial Open Source Community,actuarialopensource,,https://github.com/actuarialopensource,2026-06-29T23:55:44+00:00
acu-fuchs,ACUFuchs,acufuchs,,https://github.com/acufuchs,2026-06-29T23:55:44+00:00
acwiki,AcWiKi,ac-wiki,ac-wiki/acwiki,https://github.com/Ac-Wiki/AcWiKi,2026-06-29T23:55:44+00:00
ad-rotator,Ad Rotator,digitalfortress-tech,digitalfortress-tech/ad-rotator,https://github.com/digitalfortress-tech/ad-rotator,2026-06-29T23:55:44+00:00
adafede,Adafede,adafede,adafede/adafede.github.io,https://github.com/Adafede/adafede.github.io,2026-06-29T23:55:44+00:00
adalidda,Networking hub for Entrepreneurs and Startups,adalidda,,https://github.com/adalidda,2026-06-29T23:55:44+00:00
adamwhitehat,Adam White Software Development Fund,adamwhitehat,,https://github.com/AdamWhiteHat,2026-06-29T23:55:44+00:00
adaptable,Adaptable,adaptable-org,,https://github.com/adaptable-org,2026-06-29T23:55:44+00:00
adaptive-intelligence-circle,Adaptive Intelligence Circle,adaptiveintelligencecircle,,https://github.com/AdaptiveIntelligenceCircle,2026-06-29T23:55:44+00:00
adaptive-intelligence-collecti,Adaptive Intelligence Collective,adaptive-intelligence-challenge,adaptive-intelligence-challenge/bounty-submissions,https://github.com/adaptive-intelligence-challenge/bounty-submissions,2026-06-29T23:55:44+00:00
adaptive-self-evolution-principle-asep,Adaptive Self Evolution Principle ASEP,omniverticalgroup-bit,omniverticalgroup-bit/adaptive-self-evolution-principle-asep-,https://github.com/omniverticalgroup-bit/Adaptive-Self-Evolution-Principle-ASEP-,2026-06-29T23:55:44+00:00
adaptiveai,AdaptiveAI,adaptiveintelligencecircle,adaptiveintelligencecircle/adaptiveai-,https://github.com/AdaptiveIntelligenceCircle/AdaptiveAI-,2026-06-29T23:55:44+00:00
adaptiveos,AdaptiveOS,adaptiveintelligencecircle,adaptiveintelligencecircle/adaptiveos,https://github.com/AdaptiveIntelligenceCircle/AdaptiveOS,2026-06-29T23:55:44+00:00
adb-enhanced,adb-enhanced,ashishb,ashishb/adb-enhanced,https://github.com/ashishb/adb-enhanced,2026-06-29T23:55:44+00:00
adbjs,ADB.js,adbjs,adbjs/adb.js,https://github.com/adbjs/adb.js,2026-06-29T23:55:44+00:00
addition,Addition,googlepony,googlepony/addition,https://github.com/Googlepony/Addition,2026-06-29T23:55:44+00:00
adhdcoder,ADHD Coder,kitkatnik,kitkatnik/ks-mealmind,https://github.com/Kitkatnik/ks-MealMind,2026-06-29T23:55:44+00:00
adhdo,ADHDO,jojommeke,jojommeke/adhdo,https://github.com/jojommeke/ADHDO,2026-06-29T23:55:44+00:00
adhiroha-yoga-centre-rishikesh,Adhiroha Yoga Centre – Rishikesh,adhiroha-yoga-centre,,https://github.com/adhiroha-yoga-centre,2026-06-29T23:55:44+00:00
adilmohak,Learning management system,adilmohak,adilmohak/django-lms,https://github.com/adilmohak/django-lms,2026-06-29T23:55:44+00:00
adiptal-editor,Adiptal Editor,adiptal,adiptal/adiptal-editor,https://github.com/adiptal/adiptal-editor,2026-06-29T23:55:44+00:00
adityashah,IcyKaido,icykaido,,https://github.com/IcyKaido,2026-06-29T23:55:44+00:00
adlk-education-app,Adlk Education App,adartalmdrstalhdhky-max,adartalmdrstalhdhky-max/adlk-education-app,https://github.com/adartalmdrstalhdhky-max/Adlk-education-app,2026-06-29T23:55:44+00:00
admin-sabapornstar,Admin Sabapornstar,admin-sabapornstar,admin-sabapornstar/admin-sabapornstar,https://github.com/admin-sabapornstar/admin-sabapornstar,2026-06-29T23:55:44+00:00
adnauseam,AdNauseam,dhowe,dhowe/adnauseam,https://github.com/dhowe/AdNauseam,2026-06-29T23:55:44+00:00
adonisjs-shopify,Adonisjs Shopify,ordius,ordius/adonisjs-shopify,https://github.com/ordius/adonisjs-shopify,2026-06-29T23:55:44+00:00
adoptame-latam,Adoptame LATAM,loaizamateo,loaizamateo/adoptame,https://github.com/loaizamateo/adoptame,2026-06-29T23:55:44+00:00
adoptopenjdk,AdoptOpenJDK,adoptopenjdk,,https://github.com/AdoptOpenJDK,2026-06-29T23:55:44+00:00
adotpets,Adotpets,adotpet,,https://github.com/adotpet,2026-06-29T23:55:44+00:00
adrian-roach,Adrian Roach,thegrimsilence,,https://github.com/thegrimsilence,2026-06-29T23:55:44+00:00
adrianamusic,AdrianaMusic,adrianamusic,,https://github.com/AdrianaMusic,2026-06-29T23:55:44+00:00
adult-content-api-client,Adult Content Api Client,sangshanrupesh,sangshanrupesh/adult-content-api-client,https://github.com/sangshanrupesh/adult-content-api-client,2026-06-29T23:55:44+00:00
aduskin3821,aduskin3821,aduskin,,https://github.com/aduskin,2026-06-29T23:55:44+00:00
advanced-java,advanced-java,doocs,doocs/advanced-java,https://github.com/doocs/advanced-java,2026-06-29T23:55:44+00:00
advanced-woo-recommendations,Advanced Woo Recommendations,rizennews,rizennews/advanced-woo-recommendations,https://github.com/rizennews/advanced-woo-recommendations,2026-06-29T23:55:44+00:00
advancedfx,advancedfx,advancedfx,,https://github.com/advancedfx,2026-06-29T23:55:44+00:00
aedes,Aedes,moscajs,moscajs/aedes,https://github.com/moscajs/aedes,2026-06-29T23:55:44+00:00
aedis-ai,Aedis AI,aedis-ai,aedis-ai/1bit-cifar100-research,https://github.com/Aedis-AI/1bit-cifar100-research,2026-06-29T23:55:44+00:00
aegis-lunafreya-bom,AEGIS_Lunafreya_BoM,samaelxlunafreya,samaelxlunafreya/mintlify-docs,https://github.com/SamaelxLunafreya/mintlify-docs,2026-06-29T23:55:44+00:00
aegis-method-pack,Aegis,ganyuanran,ganyuanran/aegis,https://github.com/GanyuanRan/Aegis,2026-06-29T23:55:44+00:00
aegislunafrey,AEGIS_Lunafrey,samaelxlunafreya,samaelxlunafreya/supabase-nextjs-slack-luna,https://github.com/SamaelxLunafreya/supabase-nextjs-slack-luna,2026-06-29T23:55:44+00:00
aeria,aeria,afuturemodern,afuturemodern/aeria,https://github.com/afuturemodern/aeria,2026-06-29T23:55:44+00:00
aeria-org,Aeria,aeria-org,aeria-org/aeria,https://github.com/aeria-org/aeria,2026-06-29T23:55:44+00:00
aerial-ace,Aerial Ace,aerial-ace,aerial-ace/aerial-ace,https://github.com/aerial-ace/aerial-ace,2026-06-29T23:55:44+00:00
aethersdr,AetherSDR,aethersdr,aethersdr/aethersdr,https://github.com/aethersdr/AetherSDR,2026-06-29T23:55:44+00:00
aethra-browser,Aethra Browser,aethraofficial,aethraofficial/aethra-browser,https://github.com/aethraofficial/aethra-browser,2026-06-29T23:55:44+00:00
affanthebest,AffanTheBest,affanthebest,,https://github.com/AffanTheBest,2026-06-29T23:55:44+00:00
affine,AFFiNE,toeverything,toeverything/affine,https://github.com/toeverything/AFFiNE,2026-06-29T23:55:44+00:00
affinepro,AFFiNE.pro,toeverything,toeverything/affine.pro,https://github.com/toeverything/AFFiNE.pro,2026-06-29T23:55:44+00:00
aflplusplus,AFLplusplus,aflplusplus,,https://github.com/AFLplusplus,2026-06-29T23:55:44+00:00
aflpluspluseu,AFLplusplus - Europe,aflplusplus,,https://github.com/AFLplusplus,2026-06-29T23:55:44+00:00
aframe,A-Frame,aframevr,aframevr/aframe,https://github.com/aframevr/aframe,2026-06-29T23:55:44+00:00
africahacks,AfricaHacks,africahacks,,https://github.com/africahacks,2026-06-29T23:55:44+00:00
african-developers,African Developers,africandeveloper,,https://github.com/africandeveloper,2026-06-29T23:55:44+00:00
africarxiv,AfricArXiv - the pan-African Open Access portal,africarxiv,,https://github.com/africarxiv,2026-06-29T23:55:44+00:00
afrim-collective,Afrim Collective,fodydev,fodydev/afrim,https://github.com/fodydev/afrim,2026-06-29T23:55:44+00:00
after,After,afterfund,,https://github.com/afterfund,2026-06-29T23:55:44+00:00
agarbage,aGarbage,august1251,august1251/agarbage,https://github.com/August1251/aGarbage,2026-06-29T23:55:44+00:00
agbegbetech,AgbegbeTech,agbegbetech,,https://github.com/agbegbetech,2026-06-29T23:55:44+00:00
agent,jenssegers/agent,jenssegers,jenssegers/agent,https://github.com/jenssegers/agent,2026-06-29T23:55:44+00:00
agent-martha,Agent Martha,mishesbone,mishesbone/martha,https://github.com/mishesbone/martha,2026-06-29T23:55:44+00:00
agent-orch,agent-orch,lin17750813859,lin17750813859/agent-orch,https://github.com/lin17750813859/agent-orch,2026-06-29T23:55:44+00:00
agent-threat-rules,Agent Threat Rules,agent-threat-rule,agent-threat-rule/agent-threat-rules,https://github.com/Agent-Threat-Rule/agent-threat-rules,2026-06-29T23:55:44+00:00
agente-llm-multimodal,Agente Llm Multimodal,dfedez920912,dfedez920912/agente-llm-multimodal,https://github.com/dfedez920912/agente-llm-multimodal,2026-06-29T23:55:44+00:00
agenticfleet,AgenticFleet,qredence,qredence/agenticfleet,https://github.com/Qredence/AgenticFleet,2026-06-29T23:55:44+00:00
agentindeedis,AGENT.INDEED.IS,imagos-studio,imagos-studio/indeed-is,https://github.com/imagos-studio/indeed-is,2026-06-29T23:55:44+00:00
agentweb,AgentWeb,justson,justson/agentweb,https://github.com/Justson/AgentWeb,2026-06-29T23:55:44+00:00
agibuildavaloniawebview,Agibuild.Avalonia.WebView,agibuild,agibuild/agibuild.avalonia.webview,https://github.com/AGIBuild/Agibuild.Avalonia.WebView,2026-06-29T23:55:44+00:00
agileconfig,AgileConfig,kklldog,,https://github.com/kklldog,2026-06-29T23:55:44+00:00
agnosticui-collective,AgnosticUI Collective,agnosticui,agnosticui/agnosticui,https://github.com/AgnosticUI/agnosticui,2026-06-29T23:55:44+00:00
agollo,agollo,shima-park,,https://github.com/shima-park,2026-06-29T23:55:44+00:00
agona,STARCITZ,starcitz11,,https://github.com/Starcitz11,2026-06-29T23:55:44+00:00
agopengps,AgOpenGPS,agopengps-official,agopengps-official/agopengps,https://github.com/AgOpenGPS-Official/AgOpenGPS,2026-06-29T23:55:44+00:00
agora-flat,Flat,netless-io,netless-io/flat,https://github.com/netless-io/flat,2026-06-29T23:55:44+00:00
agoraa,Agoraa,0xk1h0,0xk1h0/chatgpt_dan,https://github.com/0xk1h0/ChatGPT_DAN.git,2026-06-29T23:55:44+00:00
agoraa-collective,Agoraa Collective,paaarth,paaarth/agoraa-collective,https://github.com/Paaarth/Agoraa-Collective,2026-06-29T23:55:44+00:00
agorica,Agorica,ericbullen,ericbullen/agorica,https://github.com/ericbullen/agorica,2026-06-29T23:55:44+00:00
agrosenseai,AgroSenseAI,45tileno,45tileno/agrosenseai,https://github.com/45tileno/AgroSenseAI,2026-06-29T23:55:44+00:00
agung_authenticator,Agung Authenticator,anakagung2009-bit,anakagung2009-bit/agung_authenticator,https://github.com/Anakagung2009-bit/agung_authenticator,2026-06-29T23:55:44+00:00
ahloazasd-donation,ahloa donation,monosans,,https://github.com/monosans,2026-06-29T23:55:44+00:00
ahmad-raza41,Ahmad Raza,ahmadrazanewman,,https://github.com/AhmadRazaNewMan/,2026-06-29T23:55:44+00:00
ahsan-swift-labs,Ahsan Swift Labs,nativeswave,nativeswave/aishieldkit,https://github.com/NativesWave/AIShieldKit,2026-06-29T23:55:44+00:00
ai-agro,AI Agro,rentadronecl,rentadronecl/ai-agro,https://github.com/RentadroneCL/AI-Agro,2026-06-29T23:55:44+00:00
ai-career-coach,AI Career Coach,varuntyagii,varuntyagii/ai-career-coach,https://github.com/varuntyagii/AI-career-Coach,2026-06-29T23:55:44+00:00
ai-chat-categorizer-japeto,Ai Chat Categorizer Japeto,quantumalchemist03,quantumalchemist03/ai-chat-categorizer-japeto,https://github.com/QuantumAlchemist03/ai-chat-categorizer-japeto,2026-06-29T23:55:44+00:00
ai-commit-helper,Ai Commit Helper,fscyc,fscyc/ai-commit-helper,https://github.com/fscyc/ai-commit-helper,2026-06-29T23:55:44+00:00
ai-content-writer,AI Content Writer,bushra0909,bushra0909/ai-content-writer,https://github.com/bushra0909/AI-content-writer,2026-06-29T23:55:44+00:00
ai-dev-toolkit,Ai Dev Toolkit,plodks,plodks/ai-dev-toolkit,https://github.com/Plodks/ai-dev-toolkit,2026-06-29T23:55:44+00:00
ai-energy-saver,Ai Energy Saver,deep12650,deep12650/ai-energy-saver,https://github.com/deep12650/ai-energy-saver,2026-06-29T23:55:44+00:00
ai-festival-nigeria,AI Festival Nigeria,ai-festival-nigeria,,https://github.com/Ai-Festival-Nigeria,2026-06-29T23:55:44+00:00
ai-for-science,AI for Science,ai4s-research,ai4s-research/ai4s-skills,https://github.com/ai4s-research/ai4s-skills,2026-06-29T23:55:44+00:00
ai-gpt3-chatbot,Ai Gpt3 Chatbot,ajay-dhangar,ajay-dhangar/ai-gpt3-chatbot,https://github.com/Ajay-Dhangar/ai-gpt3-chatbot,2026-06-29T23:55:44+00:00
ai-health-navigator,AI Health Navigator,oracle69digitalmarketing,oracle69digitalmarketing/ai-health-navigator,https://github.com/Oracle69digitalmarketing/AI-Health-Navigator,2026-06-29T23:55:44+00:00
ai-hooks,Ai Hooks,dumantorbayev,dumantorbayev/ai-hooks,https://github.com/DumanTorbayev/ai-hooks,2026-06-29T23:55:44+00:00
ai-nutrition-recommender-for-t,AI Nutrition Recommender for Trekkers,rahulwasti1,rahulwasti1/nutrition-recommender,https://github.com/Rahulwasti1/Nutrition-Recommender,2026-06-29T23:55:44+00:00
ai-testing-agent,AI Agent,aidriventesting,aidriventesting/agent,https://github.com/aidriventesting/Agent,2026-06-29T23:55:44+00:00
ai-transparency-standard,AI Transparency Standard,islahnexus-imago-ai,islahnexus-imago-ai/islah-ai-transparency-standard,https://github.com/islahnexus-imago-ai/islah-ai-transparency-standard,2026-06-29T23:55:44+00:00
ai2fin,AI2Fin,saszer,saszer/ai2fin-app,https://github.com/saszer/ai2fin-app,2026-06-29T23:55:44+00:00
ai6ph,AI Saturdays Port Harcourt,ai6ph,,https://github.com/ai6ph,2026-06-29T23:55:44+00:00
aiarena,AI Arena,aiarena,,https://github.com/aiarena,2026-06-29T23:55:44+00:00
aic-hmv-real-time-living-ai-studio,AIC HMV Real Time Living AI Studio,hungminhvoaustin,hungminhvoaustin/aic-hmv-real-time-living-ai-studio,https://github.com/HungMinhVoAustin/AIC-HMV-Real-Time-Living-AI-Studio,2026-06-29T23:55:44+00:00
aicats-api,AiCats API 🐱,aicatsapi,aicatsapi/ai-cats-sdk,https://github.com/AiCatsAPI/ai-cats-sdk,2026-06-29T23:55:44+00:00
aid-2-covid,Aid 2 Covid,aid2covid-19,,https://github.com/aid2covid-19,2026-06-29T23:55:44+00:00
aideploybox,Ai.deploy.box,talkuhulk,talkuhulk/ai.deploy.box,https://github.com/TalkUHulk/ai.deploy.box,2026-06-29T23:55:44+00:00
aider-composer,Aider Composer,lee88688,lee88688/aider-composer,https://github.com/lee88688/aider-composer,2026-06-29T23:55:44+00:00
