repo,repo_id,active_contributors,hhi_commits,bus_factor_commits,loc,concentration_class,complexity_class
ermig1979/simd,32873163,23,9617,1,0,A,
eroszy/wxinlineplayer,200041595,1,10000,1,0,A,
errichto/youtube,168947928,1,10000,1,0,A,
errorflynn/ytdlp-interface,435772622,1,10000,1,0,A,
erthink/libmdbx,44061596,1,10000,1,0,A,
erwincoumans/tiny-differentiable-simulator,263988855,9,4303,1,0,C,
es3n1n/defendnot,979241345,2,9535,1,0,A,
esnet/iperf,17183871,61,2228,2,0,D,
esotericsoftware/spine-runtimes,8302181,37,3787,1,0,C,
esp8266/arduino,32969220,26,1598,3,0,D,
espeak-ng/espeak-ng,47648456,66,968,4,0,D,
esphome/esphome,128479644,92,1712,2,0,D,
espotek-org/labrador,67556346,13,3619,1,0,C,
espresense/espresense,397588892,34,8188,1,0,A,
espressif/arduino-esp32,70127218,80,1264,3,0,D,
espressif/esp-adf,127718181,36,1208,3,0,D,
espressif/esp-drone,274066307,6,5455,1,0,B,
espressif/esp-idf,65899476,96,234,16,0,D,
espressif/esp-iot-solution,99690601,79,959,4,0,D,
espressif/esp-sr,199458200,14,7352,1,0,B,
espressif/esp-who,154821084,12,2507,2,0,C,
espressif/esp32-camera,157359627,45,1294,3,0,D,
espressif/esp8266_rtos_sdk,27584181,12,2207,2,0,D,
esprfid/esp-rfid,90875549,11,6013,1,0,B,
espruino/espruino,13123142,37,6692,1,0,B,
esseks/monicelli,27286082,1,10000,1,0,A,
eteran/edb-debugger,33055929,15,7297,1,0,B,
eth-brownie/brownie,155913585,86,1447,3,0,D,
ethan-li-coding/semiglobalmatching,249933849,1,10000,1,0,A,
ethereal-developers/openscan,274846430,2,9356,1,0,A,
ethz-adrl/control-toolbox,183515197,1,10000,1,0,A,
ethz-adrl/towr,117434408,1,10000,1,0,A,
ethz-asl/ethzasl_msf,2828464,4,3924,2,0,C,
ethz-asl/kalibr,20293077,12,3553,2,0,C,
ethz-asl/lidar_align,71791716,1,10000,1,0,A,
ethz-asl/maplab,112253403,7,5907,1,0,B,
ethz-asl/rotors_simulator,17870150,3,4400,1,0,C,
ethz-asl/segmap,68727369,1,10000,1,0,A,
ethz-asl/voxblox,56137228,3,6600,1,0,B,
etlcpp/etl,25298630,74,5857,1,0,B,
ettercap/ettercap,5041133,12,2552,2,0,C,
eulerto/wal2json,16994340,5,7404,1,0,B,
eunomia-bpf/bpf-developer-tutorial,573377157,39,4463,1,0,C,
eunomia-bpf/bpftime,676866666,32,2571,2,0,C,
ewenwan/shiyanlou,110559099,1,10000,1,0,A,
excamera/alfalfa,17068497,1,10000,1,0,A,
exelix11/sysdvr,213233840,12,9207,1,0,A,
exely/csapp-labs,104562650,3,3333,2,0,C,
existentialaudio/blackhole,211381291,12,4268,1,0,C,
exiv2/exiv2,89623031,61,1772,3,0,D,
expensify/bedrock,67904342,53,3760,1,0,C,
expresslrs/expresslrs,151064439,90,1990,2,0,D,
ezengine/ezengine,18179848,43,3750,1,0,C,
f-stack/f-stack,88224621,33,5413,1,0,B,
f1xpl/openauto,121159900,1,10000,1,0,A,
f3d-app/f3d,241178673,93,4480,1,0,C,
f4exb/sdrangel,41646286,49,4515,1,0,C,
f5oeo/rpitx,44688186,7,2346,2,0,D,
facebook/cachelib,223490876,91,568,6,0,D,
facebook/fatal,23821422,17,3918,1,0,C,
facebook/fbthrift,11131631,86,571,6,0,D,
facebook/fishhook,11351927,1,10000,1,0,A,
facebook/folly,4524181,76,1512,4,0,D,
facebook/hhvm,455600,68,258,15,0,D,
facebook/igl,663573391,59,1690,3,0,D,
facebook/mariana-trench,317710554,36,2219,2,0,D,
facebook/mcrouter,16211818,51,964,4,0,D,
facebook/mvfst,128842710,83,843,4,0,D,
facebook/openzl,1067353061,18,1527,3,0,D,
facebook/proxygen,24776728,66,778,5,0,D,
facebook/react-native,29028775,70,384,9,0,D,
facebook/redex,54664770,52,1213,3,0,D,
facebook/rocksdb,6934395,47,731,6,0,D,
facebook/threatexchange,30729678,74,1744,3,0,D,
facebook/transform360,49102698,1,10000,1,0,A,
facebook/watchman,6930489,69,2009,2,0,D,
facebook/wdt,22231878,12,1558,3,0,D,
facebook/yoga,18503721,40,3429,1,0,C,
facebook/zstd,29759715,50,3424,1,0,C,
facebookexperimental/libunifex,218405352,36,1126,3,0,D,
facebookincubator/fizz,89943162,79,584,9,0,D,
facebookincubator/katran,131347954,77,686,6,0,D,
facebookincubator/oomd,139059389,16,1491,3,0,D,
facebookincubator/velox,388946490,99,592,7,0,D,
facebookresearch/faiss,81227005,85,615,6,0,D,
facebookresearch/habitat-sim,169164539,37,1490,3,0,D,
facebookresearch/replica-dataset,169771349,2,5000,1,0,B,
facico/chinese-vicuna,617734467,7,4312,1,0,C,
facontidavide/cpp_optimizations_diary,261566073,6,3388,1,0,C,
facontidavide/plotjuggler,52909975,64,6334,1,0,B,
falcosecurity/falco,49986046,74,1021,4,0,D,
falkordb/falkordb,668673665,44,2011,2,0,D,
falktx/carla,7517166,26,9248,1,0,A,
fan-ziqi/rl_sar,767986837,5,9508,1,0,A,
fanglingsu/vimb,6628036,22,1496,3,0,D,
fanvanzh/3dtiles,120919743,12,1808,2,0,D,
farama-foundation/arcade-learning-environment,5816654,27,3528,2,0,C,
farama-foundation/vizdoom,38127500,14,6110,1,0,B,
fargroup/farmanager,107807404,33,5204,1,0,B,
fascinatedbox/lily,18459138,2,9430,1,0,A,
fasiondog/hikyuu,5103141,15,9443,1,0,A,
fastbuild/fastbuild,32647696,32,7229,1,0,B,
fastfetch-cli/fastfetch,340181518,95,6372,1,0,B,
fastfloat/fast_float,305438763,58,2896,1,0,C,
fastled/fastled,14268809,56,9107,1,0,A,
fastogt/fastonosql,39292928,1,10000,1,0,A,
fastshift/x-track,349490770,13,8548,1,0,A,
fastvm/minivm,349848460,10,9607,1,0,A,
fazecast/jserialcomm,31406703,14,8222,1,0,A,
fazeelusmani/amazon-sde-preparation,279932315,12,2915,2,0,C,
fcitx/fcitx5,40201953,46,7219,1,0,B,
fdintino/nginx-upload-module,95414,2,5000,1,0,B,
fdio/vpp,96556718,66,985,4,0,D,
fdivitto/fabgl,169951787,1,10000,1,0,A,
fedoraqt/mediawriter,58723373,93,1070,4,0,D,
fegennari/3dworld,128689753,3,9996,1,0,A,
feiskyer/linux-perf-examples,151910762,1,10000,1,0,A,
feiskyer/sdn-handbook,91241471,1,10000,1,0,A,
feiyangqingyun/qwidgetdemo,212790745,4,9538,1,0,A,
feiyull/tensorrt-alpha,534094402,2,8673,1,0,A,
felixguendling/cista,159045490,19,4768,1,0,C,
felixkratz/jankyborders,713490206,4,9492,1,0,A,
felixkratz/sketchybar,395684015,21,8777,1,0,A,
felt/tippecanoe,525159492,35,3931,1,0,C,
fengjungle/designpattern,215804347,3,8198,1,0,A,
fenics/dolfinx,128214585,42,2100,2,0,D,
fenrus75/powertop,3096701,15,839,5,0,D,
fenwii/openharmony,295909816,1,10000,1,0,A,
feralinteractive/gamemode,128909919,37,1636,2,0,D,
festvox/flite,107784754,5,5225,1,0,B,
fetlang/fetlang,100285532,3,6600,1,0,B,
fex-emu/fex,245352386,55,3379,1,0,C,
ffffffff0x/1earn,178545630,4,8670,1,0,A,
ffmpeg/ffmpeg,1614410,66,1293,3,0,D,
ffmpegwasm/ffmpeg.wasm,215530281,62,4332,1,0,C,
fftw/fftw3,8843388,15,1194,3,0,D,
fgkeepalive/androidkeepalive,601540872,1,10000,1,0,A,
fholger/openvr_fsr,382946977,5,7832,1,0,B,
fholger/vrperfkit,443879482,1,10000,1,0,A,
fibjs/fibjs,19540706,12,9130,1,0,A,
file/file,1303130,2,9947,1,0,A,
filecxx/filecentipede,467157951,23,1885,2,0,D,
finalburnneo/fbneo,184066505,59,3514,1,0,C,
firebase/firebase-ios-sdk,89033556,67,1457,3,0,D,
firebirdsql/firebird,54005538,44,1554,3,0,D,
firedancer-io/firedancer,525383681,91,931,5,0,D,
firmata/arduino,3214984,10,2100,2,0,D,
firmianay/ctf-all-in-one,97291220,7,3646,1,0,C,
fisco-bcos/fisco-bcos,113932055,29,1801,3,0,D,
fix94/nintendont,35291590,22,1736,3,0,D,
flame/blis,16143904,41,3333,2,0,C,
flame/how-to-optimize-gemm,65327876,2,5000,1,0,B,
flameshot-org/flameshot,90902132,83,1110,3,0,D,
flann-lib/flann,1538047,4,8189,1,0,A,
flareteam/flare-engine,5846904,12,8049,1,0,A,
flashlight/flashlight,161376600,25,4005,1,0,C,
flashlight/wav2letter,111442748,9,1700,2,0,D,
flashrom/flashrom,1474948,56,847,5,0,D,
flatpak/flatpak,59213200,66,1978,2,139978,D,B
flexflow/flexflow-train,160988469,38,1544,3,0,D,
flexible-collision-library/fcl,5875030,11,1914,2,0,D,
flif-hub/flif,42050752,3,3878,2,0,C,
flightlessmango/mangohud,236648333,74,2579,2,0,C,
flipperdevices/flipperzero-firmware,284134871,95,2097,2,0,D,
flipperdevices/qflipper,367434816,22,7206,1,0,B,
floooh/chips,110844599,5,9415,1,0,A,
floooh/sokol,97212490,84,7958,1,0,B,
flowdriveai/flowpilot,536896277,6,8345,1,0,A,
fltk/fltk,149260789,35,5123,1,0,B,
fluent/fluent-bit,29933948,74,2041,2,0,D,
fluidsynth/fluidsynth,95304991,67,3222,1,0,C,
fluorohydride/ygopro,2881111,13,4445,1,0,C,
flutter/codelabs,142917961,62,4454,1,0,C,
flygoat/ryzenadj,169076854,34,1894,2,0,D,
flyinghead/flycast,131286494,43,6127,1,0,B,
fmtlib/fmt,7056202,59,6107,1,0,B,
fnc12/sqlite_orm,76951323,21,5406,1,0,B,
focus-creative-games/hybridclr,510313729,8,9414,1,0,A,
fogleman/craft,9330072,1,10000,1,0,A,
fontforge/fontforge,5390156,32,1514,3,0,D,
fontmanager/font-manager,36486098,68,2393,2,0,D,
foobnix/librerareader,88200328,37,7378,1,0,B,
foonathan/lexy,201454592,29,9054,1,0,A,
foonathan/memory,33088131,22,4179,1,0,C,
foonathan/type_safe,70328518,13,3275,1,0,C,
fooyin/fooyin,505401707,65,9017,1,0,A,
forhappy/cplusplus-concurrency-in-practice,12502664,2,5000,1,0,B,
form-dev/form,12756230,11,3187,2,0,C,
forthespada/mypoorwebserver,230074753,1,10000,1,0,A,
fortheusers/hb-appstore,123695736,9,5462,1,0,B,
fortra/nanodump,426733235,6,9558,1,0,A,
fortyseveneffects/arduino_midi_library,4409634,5,3989,1,0,C,
fossasia/pslab-bootloader,111906320,2,5003,1,0,B,
fossasia/pslab-esp01-firmware,111911832,3,4286,1,0,C,
fossasia/pslab-firmware,86472725,6,4414,2,0,C,
fossasia/pslab-mini-firmware,62321793,4,8341,1,0,A,
fossephate/joycon-driver,87025070,1,10000,1,0,A,
fougue/mayo,64474598,9,9732,1,0,A,
fr4nkfletcher/esp32-marauder-cheap-yellow-display,752129920,2,9953,1,0,A,
fragglet/c-algorithms,736644,1,10000,1,0,A,
frameworkcomputer/embeddedcontroller,447021040,9,5181,1,0,B,
francma/wob,196771545,20,5895,1,0,B,
fraunhoferhhi/vvenc,293576010,27,2083,2,0,D,
free-audio/clap,26473165,40,6924,1,0,B,
freebsd/freebsd-src,2328181,82,360,11,0,D,
freecad/freecad,5736080,79,609,6,0,D,
freeciv/freeciv,88430427,36,7999,1,0,B,
freeradius/freeradius-server,35649,29,3256,2,0,C,
freerdp/freerdp,1979797,41,7575,1,0,B,
freerdp/remmina,2696306,79,1910,2,0,D,
freertos/freertos,206121828,79,669,5,0,D,
freertos/freertos-kernel,207354223,91,919,4,0,D,
fritzing/fritzing-app,23322663,10,6555,1,0,B,
frrouting/frr,76599439,77,1053,4,0,D,
fulldecent/system-bus-radio,52827329,4,6719,1,0,B,
fungos/cr,111479211,8,2986,1,0,C,
fusionlanguage/fut,216405158,8,9825,1,0,A,
futo-org/android-keyboard,797372264,21,8702,1,0,A,
fw876/helloworld,256105296,61,1710,3,0,D,
fwgs/xash3d-fwgs,127814982,50,6749,1,0,B,
fwupd/fwupd,31374735,84,5305,1,0,B,
fxsound2/fxsound-app,718542341,9,8325,1,0,A,
fyusion/llff,184649653,1,10000,1,0,A,
g4lile0/esp32-wifi-hash-monster,222137237,3,7899,1,0,B,
g4lile0/tinygs,224729087,17,2871,2,0,C,
g6ejd/esp32-e-paper-weather-display,129303357,9,8374,1,0,A,
gabime/spdlog,26038648,43,4819,1,0,C,
gaijinentertainment/dagorengine,692466122,6,8284,1,0,A,
gaijinentertainment/dascript,146238112,51,6141,1,0,B,
galkahana/hummusjs,8962136,1,10000,1,0,A,
galkahana/pdf-writer,692508,8,8321,1,0,A,
game1024/openspeedy,984862298,1,10000,1,0,A,
gamelinux/passivedns,1679745,3,3750,1,0,C,
gameplay3d/gameplay,2567475,1,10000,1,0,A,
gameprogcpp/code,110481501,5,4815,1,0,C,
games-on-whales/wolf,441756043,33,7525,1,0,B,
gametechdev/presentmon,53522468,18,5272,1,0,B,
gammasoft71/xtd,170525609,12,9757,1,0,A,
ganelson/inform,169170146,22,7535,1,0,B,
gansm/finalcut,34996446,7,9390,1,0,A,
gaowenliang/imu_utils,120692835,1,10000,1,0,A,
gaoxiang12/lightning-lm,1085584781,5,4958,1,0,C,
gaoxiang12/slam_in_autonomous_driving,599893682,13,1962,2,0,D,
gaoxiang12/slambook,62030242,3,3333,2,0,C,
garagegames/torque3d,5862644,1,10000,1,0,A,
gargaj/bonzomatic,29756774,11,3979,1,0,C,
gatieme/ldd-linuxdevicedrivers,54778898,1,10000,1,0,A,
gazebosim/gz-sim,255865265,91,791,5,0,D,
gbalatro/balatro-gba,925448611,22,2126,2,0,D,
gbdev/rgbds,304743,25,5537,1,0,B,
gbdk-2020/gbdk-2020,253045857,32,3836,2,0,C,
gcc-mirror/gcc,22711503,79,359,11,0,D,
gdabah/distorm,32611857,2,7732,1,0,B,
gdbinit/machoview,6203497,1,10000,1,0,A,
gdretools/gdsdecomp,163965465,14,9516,1,0,A,
geany/geany,2532922,36,2409,2,0,D,
geigeigeist/totem,518790673,8,6042,1,0,B,
gem5/gem5,27425638,62,1160,4,0,D,
gemrb/gemrb,3297830,40,5151,1,0,B,
gen2brain/raylib-go,80191982,62,1930,2,0,D,
generalized-intelligence/gaas,168100164,2,9138,1,0,A,
genivi/candevstudio,92063745,8,3663,1,0,C,
genivia/ugrep,183980799,43,5841,1,0,B,
genodelabs/genode,3018212,26,1420,3,0,D,
gentilkiwi/kekeo,29211959,1,10000,1,0,A,
gentilkiwi/mimikatz,18496166,6,7325,1,0,B,
genymobile/scrcpy,111583593,72,8279,1,0,A,
geo-tp/esp32-bus-pirate,1014515436,4,8318,1,0,A,
geode-sdk/geode,449738859,82,1412,3,0,D,
geoffreybennett/alsa-scarlett-gui,469474871,18,8085,1,0,A,
geohot/qira,23707362,1,10000,1,0,A,
gerbera/gerbera,22786524,47,3416,2,0,C,
getdnsapi/stubby,95496457,10,2482,2,0,D,
getml/reflect-cpp,697358974,59,5853,1,0,B,
getnamo/tensorflow-unreal,75088875,1,10000,1,0,A,
ggerganov/ggwave,316912509,13,9177,1,0,A,
ggerganov/imtui,226715516,5,8092,1,0,A,
ggml-org/ggml,538180525,100,1441,3,0,D,
ggml-org/llama.cpp,612354784,99,1138,4,0,D,
ggml-org/whisper.cpp,541269386,100,1754,3,0,D,
ghaerr/elks,14411731,33,6448,1,0,B,
ghostnan/mpvpaper,284358500,9,6030,1,0,B,
giacomolaw/keylogger,74781866,13,1800,2,0,D,
gibsjose/cpp-cheat-sheet,51181211,1,10000,1,0,A,
gigablast/open-source-search-engine,11851668,4,4650,1,0,C,
gildor2/ueviewer,24237071,1,10000,1,0,A,
gioblu/pjon,27359253,4,8428,1,0,A,
git/git,36502,58,1609,3,0,D,
gitahead/gitahead,159882575,4,6875,1,0,B,
github/glb-director,133760300,13,1667,3,0,D,
github/securitylab,221101274,16,1781,2,0,D,
githubhaohao/learnffmpeg,274415971,1,10000,1,0,A,
githubhaohao/ndk_opengles_3_0,196941867,1,10000,1,0,A,
githubhaohao/openglcamera2,216771928,2,9535,1,0,A,
gittup/tup,1689443,9,8030,1,0,A,
giuspen/cherrytree,32698469,37,9000,1,0,A,
gjduck/e9patch,250687801,9,9075,1,0,A,
glfw/glfw,9524997,34,8173,1,0,A,
glmcdona/process-dump,46630078,3,8441,1,0,A,
glouw/ctl,298725179,2,9168,1,0,A,
gloxec/crossc2,234364459,2,9323,1,0,A,
gluster/glusterfs,1377037,29,789,5,0,D,
gnab/rtl8812au,14566872,7,1736,3,0,D,
gnbdev/opengnb,236677896,8,3136,2,0,C,
gnea/grbl,68751856,1,10000,1,0,A,
gnif/lookingglass,113412457,38,3915,1,0,C,
gnome/gimp,4537508,59,792,5,0,D,
gnome/glib,4537082,67,2945,1,0,C,
gnome/gtk,4537276,59,1193,4,0,D,
gnss-sdr/gnss-sdr,18740094,24,6101,1,0,B,
gnucash/gnucash,7966650,71,1355,3,0,D,
gnuradio/gnuradio,3030065,56,974,4,0,D,
go-gl/gl,31151120,8,1361,4,0,D,
go-gl/glfw,10151943,13,1790,2,0,D,
godlikepanos/anki-3d-engine,23955091,7,9170,1,0,A,
godot-jolt/godot-jolt,566533013,4,9671,1,0,A,
godotecs/godex,323039253,12,8862,1,0,A,
godotengine/godot,15634981,85,2091,2,0,D,
godotengine/godot-cpp,83732863,64,728,5,0,D,
godotjs/javascript,169099759,13,3308,1,0,C,
gojue/ecapture,469303019,52,7164,1,0,B,
golang-ui/nuklear,68863377,3,3333,2,0,C,
goldendict/goldendict,1864049,19,3985,1,0,C,
gongminmin/klayge,32620049,3,9847,1,0,A,
gooddbird/tinyrpc,422894583,3,8573,1,0,A,
goodtft/lcd-show,65728373,1,10000,1,0,A,
google-ai-edge/litert,851997597,89,1603,3,0,D,
google-ai-edge/mediapipe,191820100,91,2134,2,0,D,
google-ar/arcore-android-sdk,100979484,5,3422,2,0,C,
google-deepmind/lab,75190475,3,8809,1,0,A,
google-deepmind/mujoco,400501136,91,1295,3,0,D,
google-deepmind/mujoco_mpc,572952605,21,3266,1,0,C,
google-deepmind/open_spiel,198232685,75,1568,4,0,D,
google/angle,23355681,71,846,5,0,D,
google/benchmark,15122806,53,1640,3,0,D,
google/binexport,41831522,20,6127,1,0,B,
google/bloaty,73101558,35,1505,3,0,D,
google/boringssl,53174933,65,6627,1,0,B,
google/breakpad,52804750,51,630,6,0,D,
google/cpu_features,119692633,36,2383,2,0,D,
google/double-conversion,25397114,27,1914,3,0,D,
google/draco,75662387,26,1963,2,0,D,
google/filament,143455116,74,1722,3,0,D,
google/fruit,20900043,5,8756,1,0,A,
google/gemma.cpp,756673810,48,2063,2,0,D,
google/gemmlowp,38646625,7,1429,4,0,D,
google/google-authenticator-libpam,73227062,5,4348,1,0,C,
google/googletest,39840932,39,1517,3,0,D,
google/highway,206791328,94,4343,1,0,C,
google/honggfuzz,35228769,32,5026,1,0,B,
google/ios-webkit-debug-proxy,8165161,5,6900,1,0,B,
google/leveldb,23405758,23,1206,4,0,D,
google/libphonenumber,27500243,48,1891,2,0,D,
google/longfellow-zk,974874467,10,3135,2,0,C,
google/lullaby,93791731,1,10000,1,0,A,
google/lyra,349522340,7,3142,1,0,C,
google/marl,206139923,21,1099,3,0,D,
google/monster-mash,333946314,1,10000,1,0,A,
google/mozc-devices,32838108,8,2383,2,0,D,
google/ngx_brotli,43982690,7,1562,3,1098,D,D
google/nsjail,35638505,20,5127,1,0,B,
google/nsync,84618897,12,2517,2,0,C,
google/oboe,105566333,30,3354,2,0,C,
google/or-tools,31102092,43,4308,2,0,C,
google/pebble,920267729,4,3333,1,0,C,
google/perfetto,227091502,87,1134,4,0,D,
google/re2,23086893,15,6996,1,0,B,
google/robotstxt,191419070,8,5084,1,0,B,
google/rune,423747351,12,5411,1,0,B,
google/s2geometry,46291330,28,2764,1,0,C,
google/sandboxed-api,174313852,34,3160,2,0,C,
google/sanitizers,23641816,11,7043,1,0,B,
google/security-research,272394704,52,1336,3,0,D,
google/sentencepiece,84183882,57,5631,1,0,B,
google/shaderc,40277133,33,6239,1,0,B,
google/skia,15773229,61,1024,4,0,D,
google/snappy,17381605,20,1062,4,0,D,
google/swiftshader,62297898,61,2018,2,0,D,
google/tcmalloc,204009988,60,2092,2,0,D,
google/tensorstore,251312202,36,4205,1,0,C,
google/woff2,24993103,4,2500,2,0,C,
google/wuffs,110482267,9,9717,1,0,A,
google/xls,262163993,90,707,6,0,D,
google/xnnpack,208364128,89,1377,3,0,D,
googleprojectzero/jackalope,321704046,10,7374,1,0,B,
googleprojectzero/tinyinst,269405733,14,4801,1,0,C,
googleprojectzero/winafl,62802730,18,1430,3,0,D,
googlevr/cardboard,212419495,3,8692,1,0,A,
gosu/gosu,193464,6,6809,1,0,B,
gothenburgbitfactory/taskwarrior,120080377,39,3535,1,0,C,
gothenburgbitfactory/timewarrior,120080436,18,7226,1,0,B,
gozfree/gear-lib,40359871,5,8868,1,0,A,
gpac/gpac,19401646,53,4502,1,0,C,
gperftools/gperftools,16309670,34,7909,1,0,B,
gpgpu-sim/gpgpu-sim_distribution,22789533,18,1889,2,0,D,
gphoto/libgphoto2,40043855,48,3181,1,0,C,
gpsnoopy/raytracinginvulkan,175968151,9,6233,1,0,B,
gpuopen-effects/fidelityfx-fsr,385642020,1,10000,1,0,A,
gpuopen-effects/fidelityfx-fsr2,506164578,1,10000,1,0,A,
gpuopen-librariesandsdks/cauldron,198422281,1,10000,1,0,A,
gpuopen-librariesandsdks/fidelityfx-sdk,664657488,1,10000,1,280730,A,B
gpuopen-librariesandsdks/radeonrays_sdk,50424341,2,6800,1,0,B,
gpuopen-librariesandsdks/vulkanmemoryallocator,94551647,57,4355,1,0,C,
gpuopen-tools/compressonator,56007467,20,2849,2,0,C,
grahamdumpleton/mod_wsgi,15648929,19,6782,1,0,B,
grame-cncm/faust,72926839,51,6530,1,0,B,
grapheneos/hardened_malloc,145801335,12,4566,1,0,C,
graphitemaster/incbin,30216244,5,5556,1,0,B,
graphql/libgraphqlparser,39927385,2,5000,1,0,B,
grbl/grbl,114102,1,10000,1,0,A,
greatscottgadgets/hackrf,3681392,38,2425,2,0,D,
greatscottgadgets/ubertooth,9712011,8,2472,2,0,D,
greedysky/ttkmusicplayer,35213370,4,9885,1,0,A,
greenheartgames/greenworks,14189339,9,5941,1,0,B,
greg7mdp/parallel-hashmap,173454206,17,8109,1,0,A,
greg7mdp/sparsepp,66221768,2,5200,1,0,B,
greiman/sdfat,22680890,1,10000,1,0,A,
greyclab/cimg,36489951,11,9546,1,0,A,
grf-labs/grf,65554548,7,9695,1,0,A,
griddb/griddb,52420005,2,9674,1,0,A,
grimfang4/sdl-gpu,32435968,3,4688,1,0,C,
grpc/grpc,27729880,57,904,5,0,D,
gsass1/ntop,97338890,11,2029,2,0,D,
gscept/nebula,164856783,7,3733,2,0,C,
gsliepen/tinc,1248151,8,4861,1,0,C,
gstreamer/gstreamer,47219545,50,671,6,0,D,
gtworek/psbits,194408180,14,9225,1,0,A,
guanshuicheng/invoice,200155602,1,10000,1,0,A,
guanzhi/gmssl,27359183,38,6395,1,0,B,
guillaumeblanc/ozz-animation,41325282,11,8896,1,0,A,
guillaumechereau/goxel,43659475,17,8259,1,0,A,
guinmoon/llmfarm,653734533,1,10000,1,0,A,
guitarml/neuralpi,369846995,6,8535,1,0,A,
guitarml/smartguitaramp,293843943,4,5508,1,0,B,
gulrak/filesystem,147116528,23,4895,1,0,C,
gunrock/gunrock,14079956,14,4298,1,0,C,
gvaliente/butano,231556327,3,9939,1,0,A,
gzc/clrs,14887195,3,3750,1,0,C,
h0mbre/learning-c,208511977,1,10000,1,0,A,
h2o/h2o,23029617,35,4533,1,0,C,
h2o/picohttpparser,330414,2,5030,1,0,B,
h2oai/datatable,83748372,13,3456,2,0,C,
h2zero/nimble-arduino,244276348,47,6569,1,0,B,
h3xduck/triplecross,421918747,2,8207,1,0,A,
haad/proxychains,1410762,7,5729,1,0,B,
haampie/libtree,253045183,13,7896,1,0,B,
hackerpoet/fractalsoundexplorer,342822173,1,10000,1,0,A,
hackerschoice/gsocket,296670766,7,6197,1,0,B,
hacksysteam/hacksysextremevulnerabledriver,36424832,9,5062,1,0,B,
haiku/haiku,1904156,51,2184,2,0,D,
hailtododongo/pyrite64,1062843332,1,10000,1,0,A,
haivision/srt,87443396,52,2978,1,0,C,
haiwen/seafile,4999959,15,4504,1,0,C,
hakuna-m/wubiuefi,50463130,1,10000,1,0,A,
halide/halide,5241312,45,2278,2,0,D,
hamletdufromage/aio-switch-updater,296964325,27,6713,1,0,B,
handbrake/handbrake,41215835,51,2623,2,0,C,
handmademath/handmademath,49993383,10,1861,3,0,D,
hanickadot/compile-time-regular-expressions,61965362,17,4819,1,0,C,
hannorein/rebound,1987576,20,6375,1,0,B,
hansimov/csapp,297880790,7,2500,2,0,C,
hanskristian-work/vkd3d-proton,209527239,61,4737,1,0,C,
hanslub42/rlwrap,17113037,8,9161,1,0,A,
hanwckf/bl-mt798x,543877471,24,3111,2,0,C,
hanwckf/immortalwrt-mt798x,552482519,86,2190,2,0,D,
hanwckf/rt-n56u,108568638,10,6880,1,0,B,
hao14293/2021-postgraduate-408,156070518,1,10000,1,0,A,
haoel/leetcode,25449064,9,8930,1,0,A,
hapostgres/pg_auto_failover,184734634,32,2971,1,0,C,
haproxy/haproxy,128791889,55,1689,3,0,D,
harbourmasters/2ship2harkinian,718907857,91,655,6,0,D,
harbourmasters/shipwright,472575717,96,493,7,0,D,
harbourmasters/spaghettikart,783333624,53,2430,2,0,D,
harbourmasters/starship,803601986,28,4471,1,0,C,
hardysimpson/zlog,3055025,28,1518,3,0,D,
harfbuzz/harfbuzz,5050525,57,5518,1,0,B,
harrison1/unrealcpp,107985427,3,4400,1,0,C,
hashcat/hashcat,47409672,72,2846,2,0,C,
hashcat/hashcat-legacy,46862438,1,10000,1,0,A,
hashcat/hashcat-utils,46592019,10,3379,1,0,C,
hasherezade/hollows_hunter,117128578,3,9647,1,0,A,
hasherezade/libpeconv,110766237,7,9053,1,0,A,
hasherezade/pe-bear,537996647,9,9049,1,0,A,
hasherezade/pe-sieve,101007636,4,9882,1,0,A,
hasherezade/pe_to_shellcode,145343356,2,9756,1,0,A,
hasherezade/tiny_tracer,141471197,10,8900,1,0,A,
hathach/tinyusb,6860771,89,4775,1,0,C,
hawku/tabletdriver,124953235,1,10000,1,0,A,
heavyai/heavydb,90541149,43,691,6,0,D,
hedge-dev/unleashedrecomp,865232212,28,3289,2,0,C,
hedge-dev/xenonrecomp,853730536,12,4603,1,0,C,
heiher/hev-socks5-tunnel,211069848,13,8805,1,0,A,
heiher/natmap,544053253,8,8127,1,0,A,
helenos/helenos,106721941,14,4586,1,0,C,
helio-fm/helio-sequencer,88845336,9,9560,1,0,A,
helloexp/0day,478826386,5,8491,1,0,A,
hengli/camodocal,8773241,2,5000,1,0,B,
hengqiali/awesomecpp,197702816,1,10000,1,0,A,
hengyoush/kyanos,793985221,11,8956,1,0,A,
henki-robotics/robotics_essentials_ros2,880776535,4,4771,1,0,C,
henrypp/chrlauncher,46877896,6,7693,1,0,B,
henrypp/memreduct,28058713,21,5472,1,0,B,
henrypp/simplewall,66016134,26,5947,1,0,B,
herbstluftwm/herbstluftwm,24884178,23,6919,1,0,B,
hermajestydrmona/windows11draganddroptotaskbarfix,416649448,2,9868,1,0,A,
heterodb/pg-strom,18589213,4,9449,1,0,A,
heywillow/willow,621844557,11,5437,1,0,B,
hfiref0x/kdu,237723526,9,8528,1,0,A,
hfiref0x/syscalltables,54184869,1,10000,1,0,A,
hfiref0x/uacme,33031885,1,10000,1,0,A,
hfiref0x/winobjex64,31194828,3,9713,1,0,A,
hillya51/lunatranslator,542386106,27,9649,1,0,A,
