name,shortname,domain,homepage,github_repo,ecosystem,package,repo_url,category,programming_language,description,created,license,fetched_at
Apache Annotator,incubator-annotator,annotator.apache.org,http://annotator.apache.org,apache/incubator-annotator,,,http://git@github.com:apache/incubator-annotator.git,content,J | a | v | a | S | c | r | i | p | t,Apache Annotator is a collaborative community for creating annotation related code which works to provide a future for Annotator.js-based projects and plugins while enabling W3C spec-compliant Web Ann,2017-05-31,h | t | t | p | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache InLong,inlong,inlong.apache.org,https://inlong.apache.org,,,,https://dist.apache.org/repos/dist/release/inlong/,big-data,J | a | v | a,"Apache InLong is a one-stop, full-scenario integration framework for massive data that supports Data Ingestion, Data Synchronization, and Data Subscription, and it provides automatic, safe, reliable, ",2023-09-06,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache IoTDB,iotdb,iotdb.apache.org,http://iotdb.apache.org,apache/iotdb,,,https://github.com/apache/iotdb.git,"database, iot, java, python, c++, go, csharp","J | a | v | a | , |   | P | y | t | h | o | n | , |   | C | + | + | , |   | G | o | , |   | C | s | h | a | r | p","Apache IoTDB (Database for Internet of Things) is an integrated data management engine designed for time series data. It provides users with services for data collection, storage and analysis. Due to ",2020-07-11,h | t | t | p | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Jackrabbit,jackrabbit,jackrabbit.apache.org,http://jackrabbit.apache.org/,,,,http://svn.apache.org/repos/asf/jackrabbit/trunk/,"database, library, network-server, xml",J | a | v | a,"
      Apache Jackrabbit is a fully conforming implementation of the
      Content Repository for Java Technology API (JCR). A content
      repository is a hierarchical content store with support for",,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache JAMES,james,james.apache.org,http://james.apache.org,,,,http://svn.apache.org/repos/asf/james/server/trunk,"mail, network-server",J | a | v | a,The Apache Java Enterprise Mail Server (a.k.a. Apache James) is a 100% pure Java SMTP and POP3 Mail server and NNTP News server. We have designed James to be a complete and portable enterprise mail en,2006-03-14,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Jena,jena,jena.apache.org,http://jena.apache.org,,,,git://git.apache.org/jena.git,library,J | a | v | a,"Apache Jena provides a complete framework for building Semantic Web and Linked Data applications in Java, and provides: parsers for RDF/XML, Turtle and N-triples; a Java programming API; a complete im",2012-07-03,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache JMeter,jmeter,jmeter.apache.org,http://jmeter.apache.org/index.html,,,,https://gitbox.apache.org/repos/asf/jmeter.git,testing,J | a | v | a,"Apache JMeter may be used to test performance both on static and dynamic resources (files, Servlets, Perl scripts, Java Objects, Data Bases and Queries, FTP Servers and more). It can be used to simula",2006-02-17,h | t | t | p | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Johnzon,johnzon,johnzon.apache.org,https://johnzon.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache JSPWiki,jspwiki,jspwiki.apache.org,http://jspwiki.apache.org/,,,,http://svn.apache.org/repos/asf/jspwiki/,content,J | a | v | a,"
        Apache JSPWiki is a feature-rich and extensible WikiWiki engine built around the standard JEE 
        components (Java, servlets, JSP). It features:
        - WikiMarkup/Structured Text
    ",,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Juneau,juneau,juneau.apache.org,https://juneau.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Kafka,kafka,kafka.apache.org,https://kafka.apache.org/,,,,https://gitbox.apache.org/repos/asf/kafka.git,big-data,S | c | a | l | a,A single Kafka broker can handle hundreds of megabytes of reads and writes per second from thousands of clients. Kafka is designed to allow a single cluster to serve as the central data backbone for a,2014-04-12,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Karaf,karaf,karaf.apache.org,http://karaf.apache.org,,,,http://svn.apache.org/repos/asf/karaf/,"network-server, osgi",J | a | v | a,Apache Karaf is a small OSGi based runtime which provides a lightweight container onto which various components and applications can be deployed.,2006-03-28,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Knox,knox,knox.apache.org,https://knox.apache.org,,,,https://gitbox.apache.org/repos/asf/knox.git,big-data,J | a | v | a,"The Apache Knox Gateway is a REST API Gateway for interacting with Hadoop clusters.

The Knox Gateway provides a single access point for all REST interactions with Hadoop clusters.

In this capacity, ",2014-06-12,h | t | t | p | s | : | / | / | w | w | w | . | a | p | a | c | h | e | . | o | r | g | / | l | i | c | e | n | s | e | s | / | L | I | C | E | N | S | E | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Kudu,kudu,kudu.apache.org,https://kudu.apache.org,,,,git://git.apache.org/kudu.git,big-data,C | + | +,Apache Kudu is a columnar storage manager developed for the Apache Hadoop platform.,2018-08-15,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Kvrocks,kvrocks,kvrocks.apache.org,https://kvrocks.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Kylin,kylin,kylin.apache.org,https://kylin.apache.org,apache/kylin,,,https://github.com/apache/kylin,big-data,"J | a | v | a | , |   | S | c | a | l | a","Apache Kylin is an open source, distributed Analytical Data Warehouse for Big Data; it was designed to provide OLAP (Online Analytical Processing) capability in the big data era. By renovating the mul",2023-10-31,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Kyuubi,kyuubi,kyuubi.apache.org,https://kyuubi.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Libcloud,libcloud,libcloud.apache.org,http://libcloud.apache.org,,,,https://svn.apache.org/repos/asf/libcloud/trunk/,"cloud, library",P | y | t | h | o | n,"Apache Libcloud is a standard Python library that abstracts away differences among multiple cloud provider APIs. It allows users to manage cloud servers, cloud storage and load-balancers.",2011-05-29,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Linkis,linkis,linkis.apache.org,https://linkis.apache.org/,apache/linkis,,,https://github.com/apache/linkis,big-data,"J | a | v | a | , |   | S | c | a | l | a","Apache Linkis is a computation middleware project, which decouples the upper applications and the underlying data engines, provides standardized interfaces (REST, JDBC etc.) to easily connect to vario",2022-02-08,h | t | t | p | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Livy,livy,livy.apache.org,https://livy.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Chainsaw,logging-chainsaw,logging.apache.org,http://logging.apache.org/log4j/docs/chainsaw.html,,,,http://svn.apache.org/repos/asf/logging/chainsaw/trunk/,network-client,J | a | v | a,,2007-02-09,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Flume,logging-flume,flume.apache.org,http://flume.apache.org,,,,https://git-wip-us.apache.org/repos/asf?p=flume.git,big-data,J | a | v | a,"Apache Flume is a distributed, reliable, and available system for efficiently collecting, aggregating and moving large amounts of log data from many different sources to a centralized data store",2014-06-13,h | t | t | p | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache log4cxx,logging-log4cxx,logging.apache.org,https://logging.apache.org/log4cxx,,,,https://gitbox.apache.org/repos/asf/logging-log4cxx.git,library,C | + | +,,2007-02-09,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Log4j,logging-log4j,logging.apache.org,https://logging.apache.org/log4j/2.x/index.html,apache/logging-log4j2,,,https://github.com/apache/logging-log4j2.git,library,J | a | v | a,,1999-01-01,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache log4net,logging-log4net,logging.apache.org,https://logging.apache.org/log4net/,apache/logging-log4net,,,https://github.com/apache/logging-log4net,library,C | #,,2007-02-09,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache log4php,logging-log4php,logging.apache.org,http://logging.apache.org/log4php/,,,,http://svn.apache.org/repos/asf/logging/log4php/trunk,library,P | H | P,,2004-01-06,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Lucene Core,lucene-core,lucene.apache.org,https://lucene.apache.org/core/,,,,https://git-wip-us.apache.org/repos/asf/lucene.git,"database, library, search",J | a | v | a,"Apache Lucene is a high-performance, full-featured text search engine library written entirely in Java. It is a technology suitable for nearly any application that requires full-text search, especiall",2001-09-01,h | t | t | p | : | / | / | w | w | w | . | a | p | a | c | h | e | . | o | r | g | / | l | i | c | e | n | s | e | s | / | L | I | C | E | N | S | E | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache PyLucene,lucene-pylucene,lucene.apache.org,https://lucene.apache.org/pylucene/index.html,,,,https://svn.apache.org/repos/asf/lucene/pylucene/,"search, library, python, c++","C | + | + | , |   | P | y | t | h | o | n",PyLucene is a Python extension for accessing Java Lucene TM. Its goal is to allow you to use Lucene's text indexing and searching capabilities from Python.,2009-01-08,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Lucene.Net,lucenenet-lucenedotnet,lucenenet.apache.org,http://lucenenet.apache.org/,,,,,database,C | #,"Lucene.Net is a port of the Lucene search engine library, written in C# and targeted at .NET runtime users. The Lucene search library is based on an inverted index. Lucene.Net has three primary goals:",2014-04-14,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Madlib,madlib,madlib.apache.org,https://madlib.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Magpie,magpie,github.com,https://github.com/apache/magpie,apache/magpie,,,https://github.com/apache/magpie.git,build-management,P | y | t | h | o | n,"Apache Magpie is a project-agnostic, agent-assisted maintainership and
      development framework that any open-source project — ASF or not — can adopt. It ships
      independently-toggleable modes ",2026-04-28,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Mahout,mahout,mahout.apache.org,http://mahout.apache.org,,,,http://svn.apache.org/repos/asf/mahout/trunk,library,J | a | v | a,,2011-05-31,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache ManifoldCF,manifoldcf,manifoldcf.apache.org,https://manifoldcf.apache.org,,,,https://gitbox.apache.org/repos/asf/manifoldcf.git,content,J | a | v | a,"ManifoldCF is an effort to provide an open source framework for connecting source content repositories like Microsoft Sharepoint and EMC Documentum, to target repositories or indexes, such as Apache S",2012-05-17,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Maven,maven,maven.apache.org,https://maven.apache.org/,,,,https://gitbox.apache.org/repos/asf/maven.git,build-management,J | a | v | a,"Maven is a project development management and comprehension tool. Based on the concept of a project object model: builds, dependency management, documentation creation, site publication, and distribut",2001,h | t | t | p | : | / | / | w | w | w | . | a | p | a | c | h | e | . | o | r | g | / | l | i | c | e | n | s | e | s | / | L | I | C | E | N | S | E | - | 2 | . | 0 | . | t | x | t,2026-06-29T23:06:31+00:00
Apache Maven Doxia,maven-doxia,maven.apache.org,https://maven.apache.org/doxia/,,,,https://gitbox.apache.org/repos/asf/maven-doxia.git,build-management,J | a | v | a,Doxia is a content generation framework which aims to provide its users with powerful techniques for generating static and dynamic content: Doxia can be used in web-based publishing context to generat,2001,h | t | t | p | : | / | / | w | w | w | . | a | p | a | c | h | e | . | o | r | g | / | l | i | c | e | n | s | e | s | / | L | I | C | E | N | S | E | - | 2 | . | 0 | . | t | x | t,2026-06-29T23:06:31+00:00
Apache MINA,mina,mina.apache.org,http://mina.apache.org/,,,,https://svn.apache.org/repos/asf/mina,"network-client, network-server",J | a | v | a,"Apache MINA is a network application framework which helps users develop high performance and high scalability network applications easily. It provides an abstract, event-driven, asynchronous API over",2006-04-04,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache FtpServer,mina-ftpserver,mina.apache.org,http://mina.apache.org/ftpserver-project,,,,https://svn.apache.org/repos/asf/mina/ftpserver,network-server,J | a | v | a,The Apache FtpServer application is a 100% pure Java FTP server. It's designed to be a complete and portable FTP server engine solution based on currently available open protocols. FtpServer can be ru,2006-04-04,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache SSHD,mina-sshd,mina.apache.org,http://mina.apache.org/sshd-project,,,,https://svn.apache.org/repos/asf/mina/sshd,network-server,J | a | v | a,"Apache SSHD is a 100% pure java library to support the SSH protocols on both the client and server side. This library is based on Apache MINA, a scalable and high performance asynchronous IO library. ",2006-04-04,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Vysper,mina-vysper,mina.apache.org,http://mina.apache.org/vysper-project,,,,https://svn.apache.org/repos/asf/mina/vysper,network-server,J | a | v | a,"Apache Vysper aims to be a modular, full featured XMPP (Jabber) server. Vysper is implemented in Java.",2006-04-04,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache MyFaces,myfaces,myfaces.apache.org,http://myfaces.apache.org,,,,https://gitbox.apache.org/repos/asf/myfaces.git,"web-framework, javaee",J | a | v | a,"MyFaces is the free open source implementation of Jakarta Server Faces, a web application framework that accomplishes the MVC paradigm. It is comparable to the well-known Struts Framework but has feat",2006-02-28,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Tobago,myfaces-tobago,myfaces.apache.org,http://myfaces.apache.org/#/tobago,,,,https://gitbox.apache.org/repos/asf/myfaces-tobago.git,web-framework,"J | a | v | a | , |   | T | y | p | e | s | c | r | i | p | t",The goal of Tobago is to provide the community with a well designed set of user interface components based on JSF.,2006-07-10,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Mynewt,mynewt,mynewt.apache.org,https://mynewt.apache.org,apache/mynewt-core,,,https://github.com/apache/mynewt-core.git,iot,"C | , |   | G | o","Apache Mynewt is a community-driven module OS for constrained, embedded applications. Mynewt provides a real-time operating system, flash file system, network stacks, and support utilities for real-wo",2023-09-08,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache NetBeans,netbeans,netbeans.apache.org,https://netbeans.apache.org,,,,https://gitbox.apache.org/repos/asf/netbeans.git,"java, groovy, php, ide",J | a | v | a,"Apache NetBeans is and IDE for many language (java, php, ...). Apache NetBeans is a platform that can be extended by third party developer.",2019-04-17,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache NiFi,nifi,nifi.apache.org,https://nifi.apache.org/,apache/nifi,,,https://github.com/apache/nifi,big-data,J | a | v | a,"
        The mission of NiFi is the creation and maintenance of software related to providing an easy to use, powerful, and reliable system to process and distribute data.
        Apache NiFi MiNiFi i",2023-09-05,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Nutch,nutch,nutch.apache.org,https://nutch.apache.org,apache/nutch,,,https://github.com/apache/nutch.git,web-framework,J | a | v | a,"Apache Nutch is a highly extensible and scalable open source web crawler software project. Stemming from Apache Lucene, Nutch is a well matured, production ready batch crawler relying on Apache Hadoop",2011-07-21,h | t | t | p | : | / | / | w | w | w | . | a | p | a | c | h | e | . | o | r | g | / | l | i | c | e | n | s | e | s | / | L | I | C | E | N | S | E | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Nuttx,nuttx,nuttx.apache.org,https://nuttx.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache OFBiz,ofbiz,ofbiz.apache.org,http://ofbiz.apache.org,,,,http://ofbiz.apache.org/source-repositories.html,"web-framework, database, network-server, xml, http, content, geospatial","J | a | v | a | , |   | G | r | o | o | v | y | , |   | J | a | v | a | S | c | r | i | p | t | , |   | X | M | L | , |   | F | r | e | e | m | a | r | k | e | r","
      Apache OFBiz is an open source product for the automation of enterprise processes that includes framework components and business applications
      for ERP (Enterprise Resource Planning), CRM ",2006-04-16,"h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0 | , |   | h | t | t | p | : | / | / | w | w | w | . | a | p | a | c | h | e | . | o | r | g | / | l | i | c | e | n | s | e | s | /",2026-06-29T23:06:31+00:00
Apache OpenDAL,opendal,opendal.apache.org,https://opendal.apache.org/,apache/opendal,,,https://github.com/apache/opendal.git,data-engineering,R | u | s | t,Apache OpenDAL is a data access layer that allows users to easily and efficiently retrieve data from various storage services in a unified way.,2023-02-27,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache OpenJPA,openjpa,openjpa.apache.org,http://openjpa.apache.org,,,,https://svn.apache.org/repos/asf/openjpa/,"database, library, javaee",J | a | v | a,Apache OpenJPA is a Java persistence project at The Apache Software Foundation that can be used as a stand-alone POJO persistence layer or integrated into any Java EE compliant container and many othe,2010-04-29,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache OpenMeetings,openmeetings,openmeetings.apache.org,https://openmeetings.apache.org/,apache/openmeetings,,,https://github.com/apache/openmeetings.git,"network-server, network-client","J | a | v | a | , |   | J | a | v | a | S | c | r | i | p | t | , |   | S | Q | L","
      The Apache OpenMeetings provides video conferencing, instant messaging, white board, 
      collaborative document editing and other groupware tools using API functions 
      of the Red5 Strea",,h | t | t | p | s | : | / | / | w | w | w | . | a | p | a | c | h | e | . | o | r | g | / | l | i | c | e | n | s | e | s,2026-06-29T23:06:31+00:00
