repo,year,first_date,last_date
flutter/codelabs,2021,2021-01-10,2021-12-18
flutter/codelabs,2022,2022-01-02,2022-12-31
flutter/codelabs,2023,2023-01-01,2023-12-23
flutter/codelabs,2024,2024-01-07,2024-12-21
flutter/codelabs,2025,2025-01-19,2025-12-06
flygoat/ryzenadj,2021,2021-02-14,2021-10-09
flygoat/ryzenadj,2022,2022-01-23,2022-12-31
flygoat/ryzenadj,2023,2023-01-22,2023-12-16
flygoat/ryzenadj,2024,2024-02-18,2024-10-05
flygoat/ryzenadj,2025,2025-01-19,2025-12-06
flyinghead/flycast,2021,2021-01-03,2022-01-01
flyinghead/flycast,2022,2022-01-02,2022-12-31
flyinghead/flycast,2023,2023-01-01,2024-01-06
flyinghead/flycast,2024,2024-01-07,2025-01-04
flyinghead/flycast,2025,2025-01-05,2026-01-03
fmtlib/fmt,2021,2021-01-03,2022-01-01
fmtlib/fmt,2022,2022-01-02,2022-12-31
fmtlib/fmt,2023,2023-01-01,2024-01-06
fmtlib/fmt,2024,2024-01-07,2025-01-04
fmtlib/fmt,2025,2025-01-05,2026-01-03
fnc12/sqlite_orm,2021,2021-01-10,2022-01-01
fnc12/sqlite_orm,2022,2022-01-02,2022-12-24
fnc12/sqlite_orm,2023,2023-01-01,2024-01-06
fnc12/sqlite_orm,2024,2024-01-14,2025-01-04
fnc12/sqlite_orm,2025,2025-01-05,2025-02-08
focus-creative-games/hybridclr,2022,2022-04-03,2022-09-24
focus-creative-games/hybridclr,2023,2023-07-09,2024-01-06
focus-creative-games/hybridclr,2024,2024-01-21,2025-01-04
focus-creative-games/hybridclr,2025,2025-02-02,2025-12-20
fogleman/craft,2021,2021-02-21,2021-02-27
fontforge/fontforge,2021,2021-01-03,2021-12-25
fontforge/fontforge,2022,2022-01-02,2022-12-31
fontforge/fontforge,2023,2023-01-01,2024-01-06
fontforge/fontforge,2024,2024-01-07,2025-01-04
fontforge/fontforge,2025,2025-03-23,2025-12-27
fontmanager/font-manager,2021,2021-01-03,2021-12-11
fontmanager/font-manager,2022,2022-01-02,2022-11-05
fontmanager/font-manager,2023,2023-01-22,2023-11-25
fontmanager/font-manager,2024,2024-02-11,2025-01-04
fontmanager/font-manager,2025,2025-01-05,2025-09-27
foobnix/librerareader,2021,2021-01-10,2022-01-01
foobnix/librerareader,2022,2022-01-09,2022-11-12
foobnix/librerareader,2023,2023-01-01,2024-01-06
foobnix/librerareader,2024,2024-01-07,2024-11-09
foobnix/librerareader,2025,2025-07-06,2026-01-03
foonathan/lexy,2021,2021-01-03,2021-12-18
foonathan/lexy,2022,2022-01-02,2022-12-31
foonathan/lexy,2023,2023-01-01,2023-12-30
foonathan/lexy,2024,2024-01-07,2024-09-14
foonathan/lexy,2025,2025-01-05,2025-10-18
foonathan/memory,2021,2021-02-07,2021-12-25
foonathan/memory,2022,2022-02-13,2022-12-31
foonathan/memory,2023,2023-01-08,2023-12-30
foonathan/memory,2024,2024-01-07,2024-01-13
foonathan/memory,2025,2025-02-02,2025-05-31
foonathan/type_safe,2021,2021-02-07,2021-12-25
foonathan/type_safe,2022,2022-01-02,2022-11-26
foonathan/type_safe,2023,2023-06-18,2023-10-14
foonathan/type_safe,2024,2024-01-07,2024-09-14
foonathan/type_safe,2025,2025-10-12,2025-10-18
fooyin/fooyin,2022,2022-06-19,2022-12-31
fooyin/fooyin,2023,2023-01-01,2024-01-06
fooyin/fooyin,2024,2024-01-07,2025-01-04
fooyin/fooyin,2025,2025-01-19,2026-01-03
forhappy/cplusplus-concurrency-in-practice,2021,2021-07-25,2021-07-31
forhappy/cplusplus-concurrency-in-practice,2022,2022-10-23,2022-10-29
form-dev/form,2021,2021-08-29,2021-09-18
form-dev/form,2022,2022-05-08,2022-12-24
form-dev/form,2023,2023-03-05,2023-11-04
form-dev/form,2024,2024-02-18,2024-12-28
form-dev/form,2025,2025-01-05,2025-12-20
forthespada/mypoorwebserver,2021,2021-08-22,2021-12-25
forthespada/mypoorwebserver,2022,2022-04-24,2022-04-30
fortheusers/hb-appstore,2022,2022-01-02,2022-09-24
fortheusers/hb-appstore,2023,2023-01-01,2023-12-16
fortheusers/hb-appstore,2024,2024-01-21,2024-09-28
fortheusers/hb-appstore,2025,2025-01-05,2025-11-15
fortra/nanodump,2021,2021-11-07,2021-12-25
fortra/nanodump,2022,2022-01-09,2022-12-17
fortra/nanodump,2023,2023-01-22,2024-01-06
fortra/nanodump,2024,2024-04-21,2024-09-21
fortyseveneffects/arduino_midi_library,2021,2021-08-01,2021-12-04
fortyseveneffects/arduino_midi_library,2022,2022-01-09,2022-01-15
fossasia/pslab-bootloader,2021,2021-04-11,2021-11-06
fossasia/pslab-bootloader,2022,2022-04-17,2022-08-20
fossasia/pslab-bootloader,2023,2023-11-12,2023-11-18
fossasia/pslab-bootloader,2024,2024-12-22,2024-12-28
fossasia/pslab-esp01-firmware,2024,2024-12-29,2025-01-04
fossasia/pslab-esp01-firmware,2025,2025-01-05,2025-11-22
fossasia/pslab-firmware,2021,2021-04-11,2021-12-11
fossasia/pslab-firmware,2022,2022-01-09,2022-12-31
fossasia/pslab-firmware,2023,2023-05-07,2023-12-09
fossasia/pslab-firmware,2024,2024-01-14,2025-01-04
fossasia/pslab-firmware,2025,2025-01-05,2025-04-05
fossasia/pslab-mini-firmware,2025,2025-06-01,2025-11-01
fossephate/joycon-driver,2022,2022-01-02,2022-01-08
fougue/mayo,2021,2021-01-03,2021-12-18
fougue/mayo,2022,2022-01-09,2022-12-24
fougue/mayo,2023,2023-01-01,2023-12-23
fougue/mayo,2024,2024-01-07,2024-12-28
fougue/mayo,2025,2025-01-05,2025-12-27
fr4nkfletcher/esp32-marauder-cheap-yellow-display,2024,2024-01-28,2024-12-28
fr4nkfletcher/esp32-marauder-cheap-yellow-display,2025,2025-01-05,2025-11-15
fragglet/c-algorithms,2024,2024-12-08,2024-12-21
frameworkcomputer/embeddedcontroller,2021,2021-01-03,2022-01-01
frameworkcomputer/embeddedcontroller,2022,2022-01-02,2022-12-31
frameworkcomputer/embeddedcontroller,2023,2023-01-01,2023-12-16
frameworkcomputer/embeddedcontroller,2024,2024-03-10,2024-11-23
frameworkcomputer/embeddedcontroller,2025,2025-02-09,2025-05-31
francma/wob,2021,2021-01-10,2021-09-25
francma/wob,2022,2022-01-09,2022-12-31
francma/wob,2023,2023-01-01,2023-10-21
francma/wob,2024,2024-07-21,2024-07-27
francma/wob,2025,2025-02-09,2025-09-06
fraunhoferhhi/vvenc,2021,2021-02-28,2021-12-25
fraunhoferhhi/vvenc,2022,2022-01-02,2022-12-17
fraunhoferhhi/vvenc,2023,2023-01-08,2024-01-06
fraunhoferhhi/vvenc,2024,2024-01-14,2024-12-21
fraunhoferhhi/vvenc,2025,2025-01-05,2025-11-22
free-audio/clap,2021,2021-04-18,2022-01-01
free-audio/clap,2022,2022-01-02,2022-12-31
free-audio/clap,2023,2023-01-01,2024-01-06
free-audio/clap,2024,2024-01-07,2024-12-21
free-audio/clap,2025,2025-01-12,2025-11-29
freebsd/freebsd-src,2021,2021-01-03,2022-01-01
freebsd/freebsd-src,2022,2022-01-02,2022-12-31
freebsd/freebsd-src,2023,2023-01-01,2024-01-06
freebsd/freebsd-src,2024,2024-01-07,2025-01-04
freebsd/freebsd-src,2025,2025-01-05,2026-01-03
freecad/freecad,2021,2021-01-03,2022-01-01
freecad/freecad,2022,2022-01-02,2022-12-31
freecad/freecad,2023,2023-01-01,2024-01-06
freecad/freecad,2024,2024-01-07,2025-01-04
freecad/freecad,2025,2025-01-05,2026-01-03
freeciv/freeciv,2021,2021-01-03,2022-01-01
freeciv/freeciv,2022,2022-01-02,2022-12-31
freeciv/freeciv,2023,2023-01-01,2024-01-06
freeciv/freeciv,2024,2024-01-07,2025-01-04
freeciv/freeciv,2025,2025-01-05,2026-01-03
freeradius/freeradius-server,2021,2021-01-03,2022-01-01
freeradius/freeradius-server,2022,2022-01-02,2022-12-31
freeradius/freeradius-server,2023,2023-01-01,2024-01-06
freeradius/freeradius-server,2024,2024-01-07,2025-01-04
freeradius/freeradius-server,2025,2025-01-05,2026-01-03
freerdp/freerdp,2021,2021-01-03,2021-12-25
freerdp/freerdp,2022,2022-01-02,2022-12-31
freerdp/freerdp,2023,2023-01-01,2024-01-06
freerdp/freerdp,2024,2024-01-07,2025-01-04
freerdp/freerdp,2025,2025-01-05,2026-01-03
freerdp/remmina,2021,2021-01-03,2022-01-01
freerdp/remmina,2022,2022-01-02,2022-12-31
freerdp/remmina,2023,2023-01-01,2024-01-06
freerdp/remmina,2024,2024-01-07,2025-01-04
freerdp/remmina,2025,2025-01-05,2026-01-03
freertos/freertos,2021,2021-01-03,2022-01-01
freertos/freertos,2022,2022-01-02,2022-12-24
freertos/freertos,2023,2023-01-01,2024-01-06
freertos/freertos,2024,2024-01-07,2025-01-04
freertos/freertos,2025,2025-01-19,2026-01-03
freertos/freertos-kernel,2021,2021-01-03,2022-01-01
freertos/freertos-kernel,2022,2022-01-02,2022-12-24
freertos/freertos-kernel,2023,2023-01-01,2024-01-06
freertos/freertos-kernel,2024,2024-01-07,2025-01-04
freertos/freertos-kernel,2025,2025-01-12,2026-01-03
fritzing/fritzing-app,2021,2021-01-17,2022-01-01
fritzing/fritzing-app,2022,2022-01-02,2022-12-24
fritzing/fritzing-app,2023,2023-01-15,2024-01-06
fritzing/fritzing-app,2024,2024-01-28,2025-01-04
fritzing/fritzing-app,2025,2025-01-05,2025-07-12
frrouting/frr,2021,2021-01-03,2022-01-01
frrouting/frr,2022,2022-01-02,2022-12-31
frrouting/frr,2023,2023-01-01,2024-01-06
frrouting/frr,2024,2024-01-07,2025-01-04
frrouting/frr,2025,2025-01-05,2026-01-03
fulldecent/system-bus-radio,2021,2021-03-14,2021-11-27
fulldecent/system-bus-radio,2023,2023-01-29,2023-12-23
fulldecent/system-bus-radio,2024,2024-03-10,2024-09-28
fungos/cr,2021,2021-06-13,2021-09-25
fungos/cr,2022,2022-05-29,2022-11-12
fungos/cr,2024,2024-06-23,2024-08-24
fungos/cr,2025,2025-03-23,2025-04-05
fusionlanguage/fut,2021,2021-01-10,2021-12-18
fusionlanguage/fut,2022,2022-01-02,2022-12-31
fusionlanguage/fut,2023,2023-01-01,2024-01-06
fusionlanguage/fut,2024,2024-01-07,2025-01-04
fusionlanguage/fut,2025,2025-01-12,2026-01-03
futo-org/android-keyboard,2021,2021-02-07,2021-06-19
futo-org/android-keyboard,2022,2022-01-16,2022-10-15
futo-org/android-keyboard,2023,2023-07-02,2023-12-23
futo-org/android-keyboard,2024,2024-01-07,2024-12-28
futo-org/android-keyboard,2025,2025-01-05,2025-12-27
fw876/helloworld,2021,2021-01-03,2022-01-01
fw876/helloworld,2022,2022-01-02,2022-12-31
fw876/helloworld,2023,2023-01-08,2024-01-06
fw876/helloworld,2024,2024-01-07,2025-01-04
fw876/helloworld,2025,2025-01-05,2025-12-27
fwgs/xash3d-fwgs,2021,2021-01-03,2022-01-01
fwgs/xash3d-fwgs,2022,2022-01-02,2022-12-31
fwgs/xash3d-fwgs,2023,2023-01-01,2024-01-06
fwgs/xash3d-fwgs,2024,2024-01-07,2025-01-04
fwgs/xash3d-fwgs,2025,2025-01-05,2026-01-03
fwupd/fwupd,2021,2021-01-03,2022-01-01
fwupd/fwupd,2022,2022-01-02,2022-12-31
fwupd/fwupd,2023,2023-01-01,2024-01-06
fwupd/fwupd,2024,2024-01-07,2025-01-04
fwupd/fwupd,2025,2025-01-05,2026-01-03
fxsound2/fxsound-app,2023,2023-11-12,2023-12-09
fxsound2/fxsound-app,2024,2024-01-14,2025-01-04
fxsound2/fxsound-app,2025,2025-01-05,2025-12-27
fyusion/llff,2021,2021-01-17,2021-01-23
g4lile0/esp32-wifi-hash-monster,2021,2021-08-08,2021-10-16
g4lile0/tinygs,2021,2021-01-03,2021-12-04
g4lile0/tinygs,2022,2022-01-02,2022-11-19
g4lile0/tinygs,2023,2023-03-12,2024-01-06
g4lile0/tinygs,2024,2024-01-07,2024-12-28
g4lile0/tinygs,2025,2025-02-23,2026-01-03
g6ejd/esp32-e-paper-weather-display,2021,2021-01-03,2021-12-11
g6ejd/esp32-e-paper-weather-display,2022,2022-02-20,2022-11-26
g6ejd/esp32-e-paper-weather-display,2023,2023-03-05,2023-06-24
g6ejd/esp32-e-paper-weather-display,2024,2024-03-31,2024-12-21
g6ejd/esp32-e-paper-weather-display,2025,2025-10-05,2025-11-29
gabime/spdlog,2021,2021-01-03,2021-12-25
gabime/spdlog,2022,2022-01-02,2022-12-10
gabime/spdlog,2023,2023-01-08,2024-01-06
gabime/spdlog,2024,2024-01-07,2024-12-07
gabime/spdlog,2025,2025-01-12,2026-01-03
gaijinentertainment/dagorengine,2023,2023-09-10,2024-01-06
gaijinentertainment/dagorengine,2024,2024-01-07,2024-12-28
gaijinentertainment/dagorengine,2025,2025-01-12,2025-11-22
gaijinentertainment/dascript,2021,2021-01-03,2022-01-01
gaijinentertainment/dascript,2022,2022-01-09,2022-12-31
gaijinentertainment/dascript,2023,2023-01-01,2024-01-06
gaijinentertainment/dascript,2024,2024-01-07,2025-01-04
gaijinentertainment/dascript,2025,2025-01-05,2026-01-03
galkahana/hummusjs,2021,2021-11-07,2021-11-20
galkahana/hummusjs,2022,2022-10-30,2022-12-31
galkahana/hummusjs,2023,2023-04-09,2023-07-22
galkahana/hummusjs,2024,2024-04-07,2024-09-28
galkahana/hummusjs,2025,2025-11-09,2025-11-22
galkahana/pdf-writer,2022,2022-05-15,2022-12-31
galkahana/pdf-writer,2023,2023-01-22,2024-01-06
galkahana/pdf-writer,2024,2024-01-07,2024-12-14
galkahana/pdf-writer,2025,2025-06-08,2025-12-06
game1024/openspeedy,2025,2025-05-11,2025-12-27
gamelinux/passivedns,2021,2021-12-05,2021-12-11
gamelinux/passivedns,2022,2022-01-30,2022-10-08
gameplay3d/gameplay,2025,2025-02-23,2025-03-01
gameprogcpp/code,2021,2021-06-06,2021-12-11
gameprogcpp/code,2022,2022-01-02,2022-03-05
gameprogcpp/code,2024,2024-02-04,2024-02-10
games-on-whales/wolf,2021,2021-12-19,2022-01-01
games-on-whales/wolf,2022,2022-01-02,2022-12-31
games-on-whales/wolf,2023,2023-01-01,2024-01-06
games-on-whales/wolf,2024,2024-01-07,2025-01-04
games-on-whales/wolf,2025,2025-01-05,2026-01-03
gametechdev/presentmon,2021,2021-01-17,2021-08-28
gametechdev/presentmon,2022,2022-02-13,2022-11-26
gametechdev/presentmon,2023,2023-01-01,2024-01-06
gametechdev/presentmon,2024,2024-01-07,2025-01-04
gametechdev/presentmon,2025,2025-01-05,2026-01-03
gammasoft71/xtd,2021,2021-01-03,2022-01-01
gammasoft71/xtd,2022,2022-01-02,2022-12-31
gammasoft71/xtd,2023,2023-01-01,2024-01-06
gammasoft71/xtd,2024,2024-01-07,2025-01-04
gammasoft71/xtd,2025,2025-01-05,2026-01-03
ganelson/inform,2021,2021-01-31,2021-12-11
ganelson/inform,2022,2022-01-02,2022-12-24
ganelson/inform,2023,2023-01-01,2024-01-06
ganelson/inform,2024,2024-01-07,2024-11-23
ganelson/inform,2025,2025-01-12,2026-01-03
gansm/finalcut,2021,2021-02-07,2022-01-01
gansm/finalcut,2022,2022-01-02,2022-12-31
gansm/finalcut,2023,2023-01-01,2024-01-06
gansm/finalcut,2024,2024-01-14,2024-12-28
gansm/finalcut,2025,2025-02-09,2026-01-03
gaowenliang/imu_utils,2024,2024-08-25,2024-08-31
gaoxiang12/lightning-lm,2025,2025-10-26,2025-11-29
gaoxiang12/slam_in_autonomous_driving,2023,2023-02-05,2023-10-28
gaoxiang12/slam_in_autonomous_driving,2024,2024-02-11,2024-03-16
gaoxiang12/slam_in_autonomous_driving,2025,2025-02-23,2025-11-15
gaoxiang12/slambook,2021,2021-03-14,2021-03-20
gaoxiang12/slambook,2022,2022-01-16,2022-01-22
gaoxiang12/slambook,2024,2024-03-17,2024-03-23
garagegames/torque3d,2022,2022-04-03,2022-04-09
gargaj/bonzomatic,2021,2021-01-31,2021-06-19
gargaj/bonzomatic,2022,2022-01-30,2022-08-20
gargaj/bonzomatic,2023,2023-02-12,2023-09-16
gargaj/bonzomatic,2024,2024-03-17,2024-10-05
gargaj/bonzomatic,2025,2025-02-16,2025-02-22
gatieme/ldd-linuxdevicedrivers,2021,2021-01-03,2022-01-01
gatieme/ldd-linuxdevicedrivers,2022,2022-01-02,2022-12-31
gatieme/ldd-linuxdevicedrivers,2023,2023-01-01,2024-01-06
gatieme/ldd-linuxdevicedrivers,2024,2024-02-04,2024-12-14
gatieme/ldd-linuxdevicedrivers,2025,2025-01-19,2025-12-13
gazebosim/gz-sim,2021,2021-01-03,2022-01-01
gazebosim/gz-sim,2022,2022-01-02,2022-12-31
gazebosim/gz-sim,2023,2023-01-01,2024-01-06
gazebosim/gz-sim,2024,2024-01-07,2024-12-21
gazebosim/gz-sim,2025,2025-01-05,2025-12-27
gbalatro/balatro-gba,2025,2025-01-26,2026-01-03
gbdev/rgbds,2021,2021-01-03,2021-12-04
gbdev/rgbds,2022,2022-01-23,2022-12-24
gbdev/rgbds,2023,2023-01-01,2024-01-06
gbdev/rgbds,2024,2024-01-07,2025-01-04
gbdev/rgbds,2025,2025-01-12,2026-01-03
gbdk-2020/gbdk-2020,2021,2021-01-03,2022-01-01
gbdk-2020/gbdk-2020,2022,2022-01-02,2022-12-10
gbdk-2020/gbdk-2020,2023,2023-01-01,2024-01-06
gbdk-2020/gbdk-2020,2024,2024-01-07,2025-01-04
gbdk-2020/gbdk-2020,2025,2025-01-05,2025-12-27
gcc-mirror/gcc,2021,2021-01-03,2022-01-01
gcc-mirror/gcc,2022,2022-01-02,2022-12-31
gcc-mirror/gcc,2023,2023-01-01,2024-01-06
gcc-mirror/gcc,2024,2024-01-07,2025-01-04
gcc-mirror/gcc,2025,2025-01-05,2026-01-03
gdabah/distorm,2021,2021-01-31,2021-12-18
gdbinit/machoview,2023,2023-04-02,2023-05-20
gdretools/gdsdecomp,2021,2021-02-28,2021-12-25
gdretools/gdsdecomp,2022,2022-05-22,2022-12-17
gdretools/gdsdecomp,2023,2023-02-05,2023-12-16
gdretools/gdsdecomp,2024,2024-01-07,2025-01-04
gdretools/gdsdecomp,2025,2025-01-05,2026-01-03
geany/geany,2021,2021-01-03,2022-01-01
geany/geany,2022,2022-01-02,2022-12-31
geany/geany,2023,2023-01-01,2023-12-23
geany/geany,2024,2024-02-04,2025-01-04
geany/geany,2025,2025-01-05,2025-12-27
geigeigeist/totem,2022,2022-07-24,2022-12-24
geigeigeist/totem,2023,2023-01-15,2023-07-01
geigeigeist/totem,2024,2024-05-19,2024-12-14
geigeigeist/totem,2025,2025-03-09,2025-05-03
gem5/gem5,2021,2021-01-03,2022-01-01
gem5/gem5,2022,2022-01-02,2022-12-31
gem5/gem5,2023,2023-01-01,2024-01-06
gem5/gem5,2024,2024-01-07,2025-01-04
gem5/gem5,2025,2025-01-05,2026-01-03
gemrb/gemrb,2021,2021-01-03,2022-01-01
gemrb/gemrb,2022,2022-01-02,2022-12-31
gemrb/gemrb,2023,2023-01-01,2024-01-06
gemrb/gemrb,2024,2024-01-07,2025-01-04
gemrb/gemrb,2025,2025-01-05,2026-01-03
gen2brain/raylib-go,2021,2021-01-31,2022-01-01
gen2brain/raylib-go,2022,2022-01-02,2022-12-17
gen2brain/raylib-go,2023,2023-01-15,2023-12-30
gen2brain/raylib-go,2024,2024-01-07,2024-12-28
gen2brain/raylib-go,2025,2025-01-05,2026-01-03
generalized-intelligence/gaas,2021,2021-02-28,2021-10-30
genivi/candevstudio,2021,2021-02-07,2021-08-28
genivi/candevstudio,2022,2022-02-27,2022-04-02
genivi/candevstudio,2023,2023-05-21,2023-06-10
genivi/candevstudio,2024,2024-04-21,2024-05-04
genivia/ugrep,2021,2021-01-10,2021-12-25
genivia/ugrep,2022,2022-01-02,2022-12-31
genivia/ugrep,2023,2023-01-01,2024-01-06
genivia/ugrep,2024,2024-01-07,2025-01-04
genivia/ugrep,2025,2025-01-05,2026-01-03
genodelabs/genode,2021,2021-01-03,2021-12-25
genodelabs/genode,2022,2022-01-02,2022-12-31
genodelabs/genode,2023,2023-01-01,2024-01-06
genodelabs/genode,2024,2024-01-07,2025-01-04
genodelabs/genode,2025,2025-01-05,2025-12-20
gentilkiwi/kekeo,2021,2021-07-18,2021-12-18
gentilkiwi/mimikatz,2021,2021-05-09,2021-09-18
gentilkiwi/mimikatz,2022,2022-03-27,2022-09-24
gentilkiwi/mimikatz,2023,2023-07-23,2024-01-06
gentilkiwi/mimikatz,2025,2025-05-11,2025-05-17
genymobile/scrcpy,2021,2021-01-03,2022-01-01
genymobile/scrcpy,2022,2022-01-02,2022-12-31
genymobile/scrcpy,2023,2023-01-01,2024-01-06
genymobile/scrcpy,2024,2024-01-07,2025-01-04
genymobile/scrcpy,2025,2025-01-12,2026-01-03
geo-tp/esp32-bus-pirate,2025,2025-07-06,2026-01-03
geode-sdk/geode,2022,2022-07-24,2022-12-31
geode-sdk/geode,2023,2023-01-01,2024-01-06
geode-sdk/geode,2024,2024-01-07,2025-01-04
geode-sdk/geode,2025,2025-01-05,2026-01-03
geoffreybennett/alsa-scarlett-gui,2022,2022-03-13,2022-12-17
geoffreybennett/alsa-scarlett-gui,2023,2023-09-03,2024-01-06
geoffreybennett/alsa-scarlett-gui,2024,2024-01-07,2025-01-04
geoffreybennett/alsa-scarlett-gui,2025,2025-01-05,2025-12-06
geohot/qira,2022,2022-06-26,2022-07-02
gerbera/gerbera,2021,2021-01-03,2022-01-01
gerbera/gerbera,2022,2022-01-02,2022-12-31
gerbera/gerbera,2023,2023-01-01,2024-01-06
gerbera/gerbera,2024,2024-01-07,2025-01-04
gerbera/gerbera,2025,2025-01-05,2026-01-03
getdnsapi/stubby,2021,2021-05-16,2021-08-28
getdnsapi/stubby,2022,2022-01-23,2022-12-24
getdnsapi/stubby,2023,2023-01-01,2023-07-01
getdnsapi/stubby,2024,2024-03-24,2024-03-30
getdnsapi/stubby,2025,2025-06-29,2025-07-19
getml/reflect-cpp,2023,2023-09-24,2024-01-06
getml/reflect-cpp,2024,2024-01-07,2025-01-04
getml/reflect-cpp,2025,2025-01-05,2026-01-03
getnamo/tensorflow-unreal,2021,2021-05-23,2021-05-29
getnamo/tensorflow-unreal,2022,2022-04-03,2022-11-19
getnamo/tensorflow-unreal,2023,2023-10-29,2023-11-04
getnamo/tensorflow-unreal,2024,2024-02-04,2024-08-31
ggerganov/ggwave,2021,2021-01-03,2021-11-27
ggerganov/ggwave,2022,2022-01-30,2022-10-08
ggerganov/ggwave,2023,2023-01-15,2023-09-09
ggerganov/ggwave,2024,2024-02-04,2024-11-16
ggerganov/ggwave,2025,2025-03-16,2025-08-30
ggerganov/imtui,2021,2021-01-03,2021-11-13
ggerganov/imtui,2022,2022-03-13,2022-08-27
ggerganov/imtui,2023,2023-06-18,2023-06-24
ggerganov/imtui,2024,2024-04-28,2024-05-04
ggerganov/imtui,2025,2025-10-05,2025-10-11
ggml-org/ggml,2022,2022-09-18,2022-12-31
ggml-org/ggml,2023,2023-01-01,2024-01-06
ggml-org/ggml,2024,2024-01-07,2025-01-04
ggml-org/ggml,2025,2025-01-05,2026-01-03
ggml-org/llama.cpp,2023,2023-03-05,2024-01-06
ggml-org/llama.cpp,2024,2024-01-07,2025-01-04
ggml-org/llama.cpp,2025,2025-01-05,2026-01-03
ggml-org/whisper.cpp,2022,2022-09-25,2022-12-31
ggml-org/whisper.cpp,2023,2023-01-01,2024-01-06
ggml-org/whisper.cpp,2024,2024-01-07,2025-01-04
ggml-org/whisper.cpp,2025,2025-01-05,2026-01-03
ghaerr/elks,2021,2021-03-28,2022-01-01
ghaerr/elks,2022,2022-01-02,2022-12-31
ghaerr/elks,2023,2023-01-01,2024-01-06
ghaerr/elks,2024,2024-01-07,2025-01-04
ghaerr/elks,2025,2025-01-05,2026-01-03
ghostnan/mpvpaper,2021,2021-05-30,2021-11-20
ghostnan/mpvpaper,2022,2022-02-20,2022-11-19
ghostnan/mpvpaper,2023,2023-04-16,2023-11-25
ghostnan/mpvpaper,2024,2024-01-21,2024-11-30
ghostnan/mpvpaper,2025,2025-05-04,2025-11-22
giacomolaw/keylogger,2021,2021-03-07,2021-12-18
giacomolaw/keylogger,2022,2022-02-20,2022-02-26
giacomolaw/keylogger,2023,2023-08-27,2023-10-14
giacomolaw/keylogger,2024,2024-01-07,2024-02-17
giacomolaw/keylogger,2025,2025-08-03,2025-08-09
gibsjose/cpp-cheat-sheet,2022,2022-01-23,2022-01-29
gigablast/open-source-search-engine,2021,2021-05-02,2021-06-19
gigablast/open-source-search-engine,2022,2022-08-28,2022-09-03
gigablast/open-source-search-engine,2024,2024-01-07,2024-01-13
gildor2/ueviewer,2021,2021-01-03,2021-11-20
gildor2/ueviewer,2022,2022-01-02,2022-10-29
gildor2/ueviewer,2023,2023-07-02,2023-07-08
gildor2/ueviewer,2024,2024-02-18,2024-02-24
gioblu/pjon,2021,2021-01-03,2021-04-24
gioblu/pjon,2022,2022-02-06,2022-12-31
gioblu/pjon,2024,2024-12-29,2025-01-04
gioblu/pjon,2025,2025-01-05,2025-11-22
git/git,2021,2021-01-03,2022-01-01
git/git,2022,2022-01-02,2022-12-31
git/git,2023,2023-01-01,2024-01-06
git/git,2024,2024-01-07,2025-01-04
git/git,2025,2025-01-05,2026-01-03
gitahead/gitahead,2021,2021-01-03,2021-10-02
gitahead/gitahead,2022,2022-05-15,2022-05-28
gitahead/gitahead,2023,2023-11-05,2024-01-06
gitahead/gitahead,2024,2024-02-25,2024-03-02
gitahead/gitahead,2025,2025-06-08,2025-09-20
github/glb-director,2021,2021-04-04,2021-08-21
github/glb-director,2022,2022-01-02,2022-12-10
github/glb-director,2023,2023-05-28,2023-12-16
github/glb-director,2024,2024-06-23,2024-06-29
github/glb-director,2025,2025-01-19,2025-12-20
github/securitylab,2021,2021-01-17,2021-12-18
github/securitylab,2022,2022-01-16,2022-12-03
github/securitylab,2023,2023-01-15,2023-10-28
github/securitylab,2024,2024-03-10,2024-12-14
github/securitylab,2025,2025-05-18,2025-12-06
githubhaohao/learnffmpeg,2021,2021-02-21,2022-01-01
githubhaohao/learnffmpeg,2022,2022-01-16,2022-06-11
githubhaohao/learnffmpeg,2024,2024-02-04,2024-10-26
githubhaohao/learnffmpeg,2025,2025-07-13,2025-10-25
githubhaohao/ndk_opengles_3_0,2021,2021-01-03,2021-11-20
githubhaohao/ndk_opengles_3_0,2022,2022-01-23,2022-06-11
githubhaohao/ndk_opengles_3_0,2023,2023-02-12,2023-12-23
githubhaohao/ndk_opengles_3_0,2024,2024-02-04,2024-11-16
githubhaohao/ndk_opengles_3_0,2025,2025-07-13,2025-10-25
githubhaohao/openglcamera2,2021,2021-01-17,2021-10-16
githubhaohao/openglcamera2,2022,2022-01-16,2022-06-11
githubhaohao/openglcamera2,2024,2024-02-04,2024-02-24
githubhaohao/openglcamera2,2025,2025-07-13,2025-10-25
gittup/tup,2021,2021-01-31,2021-11-27
gittup/tup,2022,2022-01-23,2022-11-19
gittup/tup,2023,2023-01-15,2023-10-28
gittup/tup,2024,2024-01-07,2024-06-08
gittup/tup,2025,2025-07-13,2025-07-26
giuspen/cherrytree,2021,2021-01-03,2022-01-01
giuspen/cherrytree,2022,2022-01-02,2022-12-24
giuspen/cherrytree,2023,2023-01-01,2024-01-06
giuspen/cherrytree,2024,2024-01-07,2025-01-04
giuspen/cherrytree,2025,2025-01-05,2026-01-03
gjduck/e9patch,2021,2021-01-10,2021-12-18
gjduck/e9patch,2022,2022-01-02,2022-12-17
gjduck/e9patch,2023,2023-01-15,2023-12-16
gjduck/e9patch,2024,2024-01-28,2024-12-21
