package,avg_downloads,2021,2022,2023,2024,2025
argparse,3485207914,1299544459,2341474795,3433116715,4323093711,6028809890
define-property,3472260170,2914959438,3959999227,3845174554,3347161381,3294006249
path-key,3449793390,1837594866,2581621394,3334968576,4022662249,5472119865
pretty-format,3389865099,1294356384,2247312644,3507009920,4249056279,5651590270
is-stream,3372840331,1850347121,2578321486,3291384770,4010124925,5134023353
iconv-lite,3359139231,1784037010,2504737749,3142654454,3796630329,5567636613
form-data,3345244273,1911605901,2671753306,3403389351,3787329440,4952143368
extend-shallow,3325830706,2478288475,3805190482,3809073239,3267761242,3268840094
braces,3294142056,2214056256,2991201042,3270111403,3454128878,4541212700
fill-range,3276925441,2156101940,2997242417,3278214868,3443294706,4509773273
micromatch,3267364192,2181270719,3089776722,3228705040,3383562300,4453506177
webidl-conversions,3230392481,1376116609,2834059632,3345704311,3716997798,4879084055
slash,3195581554,1621845710,2466397510,3299104218,3800178404,4790381926
signal-exit,3190643836,1265268178,1822980064,2422630372,4069673801,6372666767
universalify,3171654366,1643135792,2431807354,3265077296,3862666567,4655584821
make-dir,3165793094,2165420035,2602168045,3035607807,3568494983,4457274599
is-glob,3063610751,2174551227,2941004918,3048078256,3083835550,4070583806
to-regex-range,3034680348,1994539136,2820075828,3138060686,3134149410,4086576678
whatwg-url,3009995771,1184676444,2502171482,3096653378,3521377077,4745100472
ignore,2996359829,1817463090,2517563581,2711923918,3017690382,4917158173
shebang-command,2978338713,1776356143,2462410799,2933702737,3264218320,4455005567
shebang-regex,2974870211,1779800234,2465304587,2936456823,3266106674,4426682735
y18n,2948564213,1832236382,2580571957,2950869701,3179730150,4199412877
mime,2944965525,2085550122,2577583019,2901676195,3182909795,3977108493
globby,2936557853,2095258248,2744408166,3026055046,3205441040,3611626763
eslint-scope,2933967055,1417845969,2230891029,2961319844,3416311119,4643467314
parse-json,2901433517,2227303741,2567772199,2830592366,2956261166,3925238113
mime-db,2882321734,1938792893,2342174353,2492829187,2821216685,4816595553
picomatch,2852247378,1199237679,1781401938,2039711732,2795656807,6445228732
pkg-dir,2846876227,2290000860,2611881778,2854469850,2997884357,3480144290
strip-bom,2840518038,1714503206,2303941388,2827336252,3144943441,4211865905
minimist,2824223808,2018914633,2483649583,2815059365,2893588634,3909906824
