repo,repo_id,score,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities,Webhooks,date
espruino/espruino,13123142,5.1,0,3,10,0,0,10,10,10,0,9,10,-1,0,0,10,-1,10,0,,2026-04-06T18:51:13+01:00
estools/escodegen,3611422,2.9,10,0,0,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-28T01:21:03+01:00
estools/esquery,11412938,3.9,10,8,0,0,0,10,10,0,0,9,0,-1,0,0,0,-1,0,10,,2026-04-27T17:08:35+01:00
estools/esrecurse,27429822,3.0,10,0,0,0,2,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-27T21:33:01+01:00
estools/estraverse,6145439,3.4,10,0,0,0,5,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T14:57:03+01:00
estools/esutils,14677293,3.1,10,0,0,0,2,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T15:08:07+01:00
eth-brownie/brownie,155913585,5.1,10,6,4,0,10,10,10,10,0,10,6,-1,0,0,0,-1,0,0,,2026-04-06T19:35:27+01:00
ethers-io/ethers.js,63465664,3.7,10,0,-1,0,0,10,10,0,0,10,6,-1,2,0,10,-1,0,0,,2026-04-27T17:08:39+01:00
ettercap/ettercap,5041133,5.7,10,0,10,0,9,10,10,0,0,10,10,-1,0,10,10,0,0,10,,2026-04-06T19:38:49+01:00
eulerto/wal2json,16994340,3.1,10,0,0,0,1,10,-1,0,0,10,1,-1,-1,0,0,-1,-1,10,,2026-04-07T13:00:48+01:00
eunomia-bpf/bpf-developer-tutorial,573377157,4.3,8,3,10,0,0,10,10,0,0,10,10,-1,0,0,0,-1,0,9,,2026-04-06T16:37:33+01:00
evanw/esbuild,61137153,3.8,10,3,10,0,0,10,10,0,0,10,10,-1,0,0,0,-1,0,0,,2026-04-27T16:08:26+01:00
evanw/node-source-map-support,7682781,3.0,10,0,-1,0,0,10,-1,10,0,10,0,-1,-1,0,0,-1,-1,0,,2026-04-27T16:08:49+01:00
evanw/thinscript,54457888,2.1,9,0,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T13:59:11+01:00
eventualbuddha/lines-and-columns,47284288,2.6,10,3,0,0,0,6,10,0,0,10,0,-1,0,0,0,-1,0,0,,2026-04-27T17:08:42+01:00
ewenwan/shiyanlou,110559099,2.1,8,0,-1,0,0,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-06T18:43:45+01:00
executablebooks/markdown-it-py,249956697,6.2,10,8,4,0,3,10,10,10,10,10,1,-1,0,0,10,-1,0,10,,2026-04-27T16:08:39+01:00
executablebooks/mdurl,387293763,3.5,10,0,1,0,0,0,10,0,10,9,0,-1,0,0,0,-1,0,10,,2026-04-27T15:53:38+01:00
exelix11/switchthemeinjector,150124830,4.1,10,0,3,0,1,10,10,10,0,10,3,-1,0,0,0,0,0,10,,2026-04-07T16:00:50+01:00
exely/csapp-labs,104562650,1.2,0,0,0,0,0,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-06T19:47:13+01:00
existentialaudio/blackhole,211381291,3.2,10,0,0,0,0,10,-1,0,0,10,3,-1,-1,0,0,-1,-1,10,,2026-04-06T12:38:24+01:00
exodusoss/bytes,885154008,5.8,10,6,10,0,0,10,10,0,0,10,10,-1,9,10,0,-1,9,0,,2026-04-27T17:08:50+01:00
expensify/bedrock,67904342,5.3,10,4,10,0,10,10,10,0,0,10,10,-1,6,0,0,0,0,10,,2026-04-07T15:04:05+01:00
expressjs/body-parser,15669006,8.2,10,1,10,0,9,10,10,10,0,10,10,-1,6,10,10,-1,10,10,,2026-04-27T17:08:52+01:00
expressjs/serve-static,17464338,7.3,10,0,9,0,10,10,10,10,0,10,0,-1,6,9,10,-1,10,10,,2026-04-27T17:08:52+01:00
expresslrs/expresslrs,151064439,4.1,10,1,10,0,10,10,10,0,0,10,10,-1,0,0,0,0,0,0,,2026-04-06T15:41:52+01:00
eyalar/lwip,21306213,3.0,10,0,0,0,1,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T20:35:00+01:00
eycorsican/go-tun2socks,138587856,2.1,10,0,0,0,1,0,10,0,0,10,0,-1,0,0,0,0,0,0,,2026-04-07T13:59:02+01:00
ezlippi/tinyhttpd,35930805,2.7,10,0,0,0,2,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T13:35:02+01:00
ezlippi/webbench,33848258,2.6,10,0,0,0,1,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T18:52:13+01:00
f5oeo/rpitx,44688186,3.2,10,0,0,0,3,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T16:35:12+01:00
facebook/create-react-app,63537249,4.1,10,1,0,0,2,10,10,10,0,10,0,-1,2,0,10,-1,0,0,,2026-04-27T17:09:03+01:00
facebook/fishhook,11351927,4.2,10,3,0,0,6,3,-1,0,0,10,0,-1,-1,0,9,-1,-1,10,,2026-04-06T15:36:17+01:00
facebook/metro,76504246,5.8,10,3,-1,0,10,10,10,10,0,10,10,-1,0,0,9,-1,0,0,,2026-04-27T17:09:06+01:00
facebook/openzl,1067353061,5.1,10,3,-1,0,9,6,10,0,10,9,10,10,0,0,9,0,0,0,,2026-04-06T18:51:11+01:00
facebook/prop-types,87597642,4.8,10,3,0,0,0,10,10,10,0,10,0,-1,0,0,9,-1,10,0,,2026-04-27T17:09:14+01:00
facebook/react,10270250,7.0,9,,10,2,8,10,10,10,0,10,10,-1,1,2,10,-1,10,0,,2026-05-03T20:00:58+01:00
facebook/regenerator,13346571,4.0,10,3,0,0,0,10,10,10,0,10,0,-1,1,0,9,-1,0,0,,2026-04-27T17:09:28+01:00
facebook/watchman,6930489,5.4,10,3,-1,0,5,10,10,10,10,10,10,-1,0,0,9,0,0,0,,2026-04-27T16:06:32+01:00
facebook/zstd,29759715,8.3,10,1,10,0,10,10,10,10,10,9,10,-1,8,2,10,8,10,9,,2026-04-06T12:36:25+01:00
facebookarchive/libphenom,7083261,3.3,10,3,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T11:55:53+01:00
facebookarchive/profilo,103603776,4.4,9,3,-1,0,9,10,10,10,10,10,0,-1,0,0,0,0,0,0,,2026-04-07T11:57:31+01:00
facebookincubator/katran,131347954,5.3,10,3,-1,0,5,10,10,0,0,10,10,-1,0,0,9,-1,0,10,,2026-04-06T15:37:11+01:00
facelessuser/soupsieve,160789418,5.1,10,1,5,0,1,10,10,0,10,10,2,10,0,0,10,-1,0,10,,2026-04-27T16:07:24+01:00
facico/chinese-vicuna,617734467,1.5,10,0,0,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,0,,2026-04-06T16:36:37+01:00
fail0verflow/hbc,74543994,3.0,9,0,0,0,2,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T18:03:56+01:00
falconn-lib/falconn,47301041,2.1,10,0,0,0,1,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,3,,2026-04-07T16:00:59+01:00
falkordb/falkordb,668673665,5.9,10,0,10,0,10,10,0,10,0,9,10,10,4,10,10,0,0,10,,2026-04-06T17:35:14+01:00
fancycode/memorymodule,1018522,3.0,10,0,0,0,1,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T18:38:04+01:00
fascinatedbox/lily,18459138,3.7,10,0,-1,0,0,0,-1,0,0,10,10,-1,-1,0,0,-1,-1,10,,2026-04-07T16:59:10+01:00
fastify/fast-uri,419317518,7.2,10,3,9,0,5,10,10,10,0,9,6,-1,0,8,10,-1,10,10,,2026-04-27T17:09:30+01:00
fastshift/x-track,349490770,1.2,0,0,0,0,1,0,-1,0,10,10,0,-1,-1,0,0,-1,-1,0,,2026-04-06T14:40:33+01:00
faye/websocket-driver-node,9733816,3.2,10,0,0,0,0,10,10,0,0,9,0,-1,0,0,0,-1,0,10,,2026-04-27T17:09:36+01:00
fazecast/jserialcomm,31406703,3.6,4,3,0,0,1,6,10,0,0,10,0,10,0,0,10,0,0,10,,2026-04-07T12:59:26+01:00
fb55/boolbase,16864585,5.9,10,0,3,0,1,10,10,0,0,10,6,10,10,0,10,-1,9,10,,2026-04-27T16:11:36+01:00
fb55/css-select,3411063,6.3,10,3,10,0,0,10,10,10,0,10,10,10,5,10,0,-1,0,9,,2026-04-27T17:09:37+01:00
fb55/css-what,4460687,6.5,10,3,10,0,2,10,10,10,0,10,10,10,6,10,0,-1,0,9,,2026-04-27T17:09:41+01:00
fb55/domelementtype,6627835,6.1,10,0,2,0,0,10,10,10,0,10,8,10,6,7,10,-1,0,9,,2026-04-27T15:05:31+01:00
fb55/domhandler,5414232,6.4,10,3,10,0,0,10,10,10,0,10,10,10,5,10,0,-1,0,10,,2026-04-27T15:52:39+01:00
fb55/domutils,6627949,5.8,10,3,10,0,0,10,10,10,0,10,10,10,5,10,0,-1,0,2,,2026-04-27T17:09:50+01:00
fb55/entities,3172629,6.0,10,3,10,0,1,10,10,10,0,10,10,10,8,10,0,-1,0,2,,2026-04-27T15:06:07+01:00
fb55/htmlparser2,2279062,6.4,10,3,10,0,1,10,10,10,0,10,10,10,5,9,10,-1,0,3,,2026-04-27T17:09:53+01:00
fb55/nth-check,16864923,6.4,10,3,10,0,0,10,10,10,0,10,10,10,6,10,0,-1,0,9,,2026-04-27T17:09:55+01:00
fdintino/nginx-upload-module,95414,3.0,10,0,0,0,2,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-07T18:03:44+01:00
fdio/vpp,96556718,4.4,9,3,-1,0,0,10,0,10,0,10,10,-1,7,0,0,-1,9,0,,2026-04-07T12:59:59+01:00
feiskyer/sdn-handbook,91241471,3.6,10,3,0,0,4,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-07T12:57:50+01:00
felixge/node-combined-stream,1787452,2.9,10,0,0,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T16:10:29+01:00
felixge/node-delayed-stream,1783893,2.9,10,0,0,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T15:52:38+01:00
felixkratz/jankyborders,713490206,2.7,10,0,0,0,0,0,-1,0,0,10,2,-1,-1,0,0,-1,-1,10,,2026-04-06T17:37:52+01:00
felixkratz/sketchybar,395684015,3.9,10,6,0,0,2,3,-1,0,0,10,4,-1,-1,0,0,-1,-1,10,,2026-04-06T13:36:16+01:00
fenwii/openharmony,295909816,1.2,0,0,-1,0,0,6,-1,0,10,10,0,-1,0,0,0,-1,-1,0,,2026-04-07T14:56:01+01:00
feralinteractive/gamemode,128909919,4.5,10,3,5,0,7,10,10,0,0,10,0,-1,0,0,0,8,0,10,,2026-04-06T14:43:08+01:00
feross/buffer,14494363,3.9,10,3,0,0,6,10,10,0,0,9,0,-1,0,0,0,-1,0,10,,2026-04-27T15:07:14+01:00
feross/ieee754,15489525,3.7,10,8,0,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T15:05:59+01:00
feross/is-buffer,25997846,3.5,10,6,0,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T17:10:08+01:00
feross/queue-microtask,207021895,3.8,10,6,-1,0,0,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T17:10:13+01:00
feross/run-parallel,18700638,3.7,10,6,0,0,0,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T17:10:18+01:00
feross/safe-buffer,49538897,3.6,10,6,0,0,1,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T14:54:05+01:00
festvox/flite,107784754,3.1,10,0,0,0,3,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-07T18:01:03+01:00
ffmpeg/ffmpeg,1614410,5.1,10,3,-1,0,0,10,-1,0,10,9,10,-1,-1,0,0,-1,-1,10,,2026-04-06T12:35:04+01:00
fftw/fftw3,8843388,4.3,10,0,0,0,5,10,-1,0,10,10,2,-1,-1,0,0,-1,-1,10,,2026-04-06T18:45:40+01:00
fgkeepalive/androidkeepalive,601540872,2.7,10,1,-1,0,0,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T14:55:39+01:00
fholger/vrperfkit,443879482,1.4,10,0,-1,0,0,3,-1,0,0,9,0,-1,-1,0,0,0,-1,0,,2026-04-07T13:56:06+01:00
firebase/firebase-js-sdk,89290483,6.5,10,4,10,0,8,10,10,10,0,9,10,-1,2,10,10,-1,0,0,,2026-04-27T15:07:00+01:00
firedancer-io/firedancer,525383681,6.8,0,7,10,0,10,10,10,10,10,9,10,-1,0,7,10,-1,0,6,,2026-04-07T13:57:27+01:00
firmianay/ctf-all-in-one,97291220,2.0,0,0,0,0,3,10,-1,0,0,10,0,-1,0,0,0,-1,-1,10,,2026-04-06T16:35:16+01:00
fitzgen/glob-to-regexp,11461122,2.9,10,0,0,0,4,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-27T17:10:20+01:00
fix94/nintendont,35291590,1.6,0,0,0,0,5,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-06T20:35:13+01:00
flame/blis,16143904,4.0,10,3,8,0,4,10,-1,0,0,9,1,-1,-1,0,0,-1,-1,10,,2026-04-06T19:45:47+01:00
flame/how-to-optimize-gemm,65327876,2.7,10,0,0,0,2,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T10:51:14+01:00
flatpak/flatpak,59213200,6.0,10,3,10,0,10,10,10,0,0,10,10,-1,0,10,10,0,0,10,,2026-04-06T15:41:42+01:00
flipperdevices/flipperzero-firmware,284134871,5.5,10,8,10,0,10,10,10,10,0,10,0,-1,0,0,9,-1,0,0,,2026-04-06T12:39:32+01:00
floatdrop/require-from-string,39301848,2.9,10,0,0,0,2,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T16:08:14+01:00
floating-ui/floating-ui,54994103,5.1,10,0,7,0,4,10,10,10,0,10,10,-1,0,0,10,-1,0,0,,2026-04-27T16:06:00+01:00
floooh/chips,110844599,3.4,10,0,5,0,1,6,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-07T16:01:19+01:00
floooh/sokol,97212490,4.6,10,3,7,0,1,10,10,0,0,10,10,-1,0,0,0,-1,0,10,,2026-04-06T13:38:12+01:00
fluidsynth/fluidsynth,95304991,5.5,9,3,10,0,1,10,10,10,0,10,10,-1,0,10,0,0,0,10,,2026-04-06T20:35:41+01:00
flygoat/ryzenadj,169076854,3.6,5,0,9,0,8,10,10,0,0,10,2,-1,0,0,0,0,0,10,,2026-04-06T20:36:50+01:00
fogleman/craft,9330072,3.1,10,0,0,0,2,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T13:36:57+01:00
follow-redirects/follow-redirects,6697086,4.9,10,0,3,0,0,10,10,10,0,10,2,-1,2,0,10,-1,10,0,,2026-04-27T16:09:06+01:00
fontconfig/fontconfig,926884194,4.0,10,0,-1,0,0,10,-1,0,0,9,10,-1,-1,0,0,-1,-1,10,,2026-04-27T21:33:03+01:00
fontmanager/font-manager,36486098,2.9,10,0,0,0,3,10,-1,0,0,10,0,-1,-1,0,0,0,-1,10,,2026-04-07T18:00:31+01:00
foobnix/librerareader,88200328,3.1,2,3,0,0,1,10,-1,0,0,9,10,-1,-1,0,0,0,-1,10,,2026-04-06T16:35:48+01:00
form-data/form-data,1755793,4.8,10,3,10,0,0,10,10,0,0,10,3,-1,0,0,0,-1,10,10,,2026-04-27T17:10:21+01:00
form-dev/form,12756230,4.5,10,3,10,0,4,10,10,0,0,10,10,-1,0,0,0,0,0,10,,2026-04-07T15:55:52+01:00
formatjs/formatjs,19117456,4.6,10,3,10,0,0,10,10,10,0,0,10,10,0,0,0,-1,0,0,,2026-04-27T17:10:26+01:00
forthespada/mypoorwebserver,230074753,2.4,10,0,-1,0,0,6,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T13:55:39+01:00
fortra/nanodump,426733235,1.6,0,0,0,0,1,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T10:48:46+01:00
fossasia/badgemagic-firmware,61428223,3.5,8,0,4,0,7,6,10,0,0,10,1,-1,0,0,0,0,0,10,,2026-04-07T12:56:00+01:00
fossasia/magic-epaper-firmware,93984633,2.8,10,0,0,0,2,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T13:01:15+01:00
fossasia/pslab-firmware,86472725,3.1,10,1,1,0,3,3,10,0,0,10,0,-1,0,0,0,0,0,10,,2026-04-07T12:56:02+01:00
fossasia/pslab-mini-firmware,62321793,3.5,10,3,10,0,0,3,10,0,0,9,0,-1,0,0,0,-1,0,10,,2026-04-07T12:57:38+01:00
fragglet/c-algorithms,736644,3.4,10,3,-1,0,0,10,10,0,0,9,1,-1,0,0,0,0,0,10,,2026-04-06T17:35:58+01:00
free-audio/clap,26473165,4.8,10,6,4,0,10,10,10,0,0,10,2,-1,0,0,0,-1,0,10,,2026-04-06T20:37:20+01:00
freebsd/freebsd-src,2328181,5.2,0,3,-1,0,3,10,10,0,10,9,10,-1,0,0,0,-1,10,10,,2026-04-06T13:39:36+01:00
freeciv/freeciv,88430427,4.7,10,0,-1,0,0,10,10,0,0,10,10,-1,0,10,0,-1,0,10,,2026-04-07T13:00:17+01:00
freecodecamp/freecodecamp,28457823,6.4,10,4,10,0,10,10,10,10,0,10,10,-1,8,0,9,-1,0,0,,2026-04-06T12:14:28+01:00
freedesktop-unofficial-mirror/cairo,34372735,2.6,10,0,-1,0,0,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,7,,2026-04-27T21:33:15+01:00
freeradius/freeradius-server,35649,5.9,10,3,-1,0,0,10,10,0,10,10,10,10,0,0,10,8,0,10,,2026-04-06T19:48:26+01:00
freerdp/freerdp,1979797,6.6,9,8,10,0,4,10,-1,0,10,10,10,-1,0,0,10,8,-1,10,,2026-04-06T12:41:37+01:00
freerdp/remmina,2696306,3.8,10,0,-1,0,0,10,-1,0,0,10,10,-1,0,0,0,-1,-1,10,,2026-04-06T19:48:42+01:00
freertos/freertos,206121828,5.4,0,10,10,0,10,10,10,10,0,10,7,-1,0,0,10,0,0,5,,2026-04-06T14:35:33+01:00
freetype/freetype,187000659,4.0,10,0,-1,0,0,10,-1,0,0,9,10,-1,-1,0,0,-1,-1,10,,2026-04-27T17:10:31+01:00
frenic/csstype,104001328,3.5,10,3,3,0,0,3,10,10,0,10,0,-1,3,0,0,-1,0,0,,2026-04-27T16:06:11+01:00
frommi/miniz_oxide,96124162,4.6,10,0,6,0,3,10,10,0,10,10,5,-1,0,0,0,-1,0,10,,2026-04-27T17:10:32+01:00
frrouting/frr,76599439,5.1,10,3,10,0,10,10,0,0,10,9,10,10,0,0,0,-1,0,10,,2026-04-06T16:37:09+01:00
fsevents/fsevents,1402936,3.3,10,0,-1,0,0,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T21:33:20+01:00
fsspec/filesystem_spec,130727736,5.4,10,0,9,0,7,10,10,0,10,10,10,-1,0,0,0,-1,0,10,,2026-04-27T15:06:30+01:00
fsspec/s3fs,53987953,4.5,10,0,9,0,4,10,10,0,0,10,10,-1,0,0,0,-1,0,9,,2026-04-27T17:10:47+01:00
fukuchi/libqrencode,1410242,3.2,10,0,0,0,0,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-06T18:51:39+01:00
fulldecent/system-bus-radio,52827329,4.3,10,0,0,0,2,10,10,10,0,10,1,-1,0,0,0,-1,0,10,,2026-04-06T14:37:19+01:00
fw876/helloworld,256105296,4.3,10,0,9,0,0,10,10,0,0,10,10,-1,0,0,0,-1,0,10,,2026-04-06T16:36:56+01:00
fwupd/fwupd,31374735,8.1,10,6,10,5,4,10,10,10,10,10,10,10,5,10,10,8,0,10,,2026-04-06T16:38:04+01:00
gaffe23/linux-inject,30771169,2.5,10,0,0,0,0,0,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-07T15:56:03+01:00
gaijinentertainment/dascript,146238112,4.9,10,3,10,0,3,10,10,0,10,10,10,-1,0,7,0,0,0,5,,2026-04-07T16:58:23+01:00
gamelinux/passivedns,1679745,3.2,10,0,0,0,7,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T11:54:19+01:00
ganelson/inform,169170146,3.8,10,0,0,0,3,10,-1,0,0,10,10,-1,-1,0,0,0,-1,10,,2026-04-07T12:56:25+01:00
garycourt/uri-js,989080,2.7,10,0,-1,0,0,3,-1,10,0,9,0,-1,-1,0,0,-1,-1,0,,2026-04-27T17:10:59+01:00
gatieme/ldd-linuxdevicedrivers,54778898,1.7,0,0,-1,0,0,3,-1,0,0,10,1,-1,-1,0,0,-1,-1,10,,2026-04-06T18:51:53+01:00
gbalatro/balatro-gba,925448611,4.4,10,3,10,0,7,6,10,0,0,0,10,-1,0,0,0,0,0,10,,2026-04-07T10:48:31+01:00
gcc-mirror/gcc,22711503,3.4,10,0,-1,0,0,10,-1,0,10,10,10,-1,0,0,0,-1,-1,0,,2026-04-27T17:11:02+01:00
gdabah/distorm,32611857,3.0,9,0,0,0,1,10,10,0,0,9,0,-1,0,0,0,0,0,10,,2026-04-07T14:56:08+01:00
gdbinit/machoview,6203497,3.4,10,0,-1,0,0,3,-1,0,10,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T18:51:51+01:00
geany/geany,2532922,6.4,10,3,10,0,6,10,10,10,0,10,10,-1,0,8,0,8,0,10,,2026-04-06T17:36:13+01:00
geigeigeist/totem,518790673,3.0,10,0,0,0,3,6,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-07T10:59:10+01:00
gentilkiwi/kekeo,29211959,1.1,0,0,-1,0,0,3,-1,0,0,0,0,-1,-1,0,0,0,-1,10,,2026-04-07T12:58:35+01:00
gentilkiwi/mimikatz,18496166,1.3,0,0,0,0,2,3,-1,0,0,0,0,-1,-1,0,0,0,-1,10,,2026-04-06T12:37:36+01:00
genymobile/scrcpy,111583593,4.4,9,0,-1,0,0,10,10,0,0,10,10,-1,0,0,0,8,0,10,,2026-04-06T12:34:48+01:00
geoffreybennett/alsa-scarlett-gui,469474871,3.5,10,0,0,0,0,0,10,0,0,10,10,-1,0,0,0,0,0,10,,2026-04-07T16:55:40+01:00
geohot/qira,23707362,1.6,0,0,0,0,9,10,-1,0,0,10,0,-1,0,0,0,-1,-1,0,,2026-04-06T16:37:05+01:00
gerard/ext4fuse,680700,3.0,10,0,0,0,4,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T18:02:26+01:00
getdnsapi/stubby,95496457,3.4,10,0,0,0,3,10,-1,0,0,10,0,-1,0,0,0,8,-1,10,,2026-04-07T14:59:47+01:00
getsentry/sentry-javascript,3328572,6.0,9,4,10,0,10,10,10,10,0,10,10,-1,1,10,10,0,0,0,,2026-04-27T15:07:42+01:00
giampaolo/psutil,20101515,5.4,10,0,10,0,0,10,10,0,10,10,10,-1,0,0,10,-1,0,10,,2026-04-27T17:11:12+01:00
gianlucaborello/libprocesshider,23007645,2.2,10,0,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T16:56:20+01:00
git/git,36502,5.3,10,0,-1,2,0,10,10,0,10,9,10,-1,0,0,10,-1,0,10,,2026-04-06T12:34:48+01:00
github/brubeck,37189021,3.3,10,0,0,0,1,0,-1,0,0,10,0,-1,-1,0,10,-1,-1,10,,2026-04-07T15:59:48+01:00
github/glb-director,133760300,7.3,10,6,10,0,10,10,10,10,0,9,0,-1,0,10,10,-1,9,9,,2026-04-06T19:49:10+01:00
gitlab-freedesktop-mirrors/libxcb,444023705,2.9,10,0,-1,0,0,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-27T21:33:20+01:00
gitoxidelabs/gitoxide,136510559,7.3,10,3,10,0,0,10,10,10,10,10,10,-1,6,10,10,0,10,7,,2026-04-27T17:11:13+01:00
gitpython-developers/gitdb,1126093,6.7,10,0,7,0,4,10,10,10,10,9,1,-1,0,5,9,-1,10,10,,2026-04-27T17:11:16+01:00
gitpython-developers/gitpython,1126087,8.1,10,3,10,0,6,10,10,10,10,10,10,-1,0,10,10,-1,9,9,,2026-04-27T17:11:56+01:00
gitpython-developers/smmap,1865144,6.1,10,0,7,0,1,10,10,10,0,10,3,-1,0,5,9,-1,10,10,,2026-04-27T17:12:06+01:00
gittup/tup,1689443,4.2,10,0,-1,0,0,10,10,0,0,10,10,-1,0,0,0,-1,0,10,,2026-04-07T15:04:37+01:00
gjduck/e9patch,250687801,3.9,10,0,1,0,2,10,10,0,0,10,10,-1,0,0,0,0,0,10,,2026-04-07T16:58:31+01:00
gkz/levn,13287279,2.9,10,0,0,0,0,10,-1,10,0,10,0,-1,-1,0,0,-1,-1,0,,2026-04-27T16:10:25+01:00
gkz/optionator,13435927,3.9,10,0,0,0,0,10,-1,10,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T17:12:13+01:00
gkz/prelude-ls,4457759,3.0,10,0,0,0,1,10,-1,10,0,10,0,-1,-1,0,0,-1,-1,0,,2026-04-27T15:05:53+01:00
gkz/type-check,13182168,2.9,10,0,0,0,0,10,-1,10,0,10,0,-1,-1,0,0,-1,-1,0,,2026-04-27T17:12:20+01:00
glmcdona/process-dump,46630078,3.3,10,6,0,0,1,0,10,0,0,10,0,-1,0,0,0,0,0,10,,2026-04-07T10:58:57+01:00
glouw/ctl,298725179,3.4,10,0,0,0,0,3,10,0,0,10,0,-1,0,7,0,-1,0,10,,2026-04-07T13:59:10+01:00
glouw/paperview,283962671,2.6,10,0,0,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T13:00:50+01:00
glouw/tinn,126944933,2.7,10,0,0,0,1,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T20:38:06+01:00
gloxec/crossc2,234364459,2.5,8,0,-1,0,0,3,10,0,0,0,0,-1,0,0,0,0,0,10,,2026-04-06T19:47:33+01:00
gluster/glusterfs,1377037,3.4,10,6,6,0,10,10,-1,0,0,10,3,-1,0,0,0,0,-1,0,,2026-04-06T15:38:52+01:00
glyptodon/guacamole-server,10532458,3.6,10,3,-1,0,0,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-07T18:03:29+01:00
gmp-mirror/gmp,681340775,3.0,10,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T21:33:20+01:00
gnab/rtl8812au,14566872,3.3,10,0,0,0,10,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T11:54:13+01:00
gnbdev/opengnb,236677896,3.4,10,0,-1,0,0,0,-1,0,0,10,10,-1,-1,0,0,-1,-1,7,,2026-04-07T15:58:52+01:00
gnif/lookingglass,113412457,4.8,10,1,10,0,10,10,10,0,0,10,5,-1,0,0,0,-1,0,10,,2026-04-06T15:35:53+01:00
gnome/gdk-pixbuf,4533539,4.1,10,0,-1,0,0,10,-1,0,0,10,10,-1,-1,0,0,-1,-1,10,,2026-04-28T01:21:18+01:00
gnome/gimp,4537508,3.8,10,0,-1,0,0,10,-1,0,0,9,10,-1,0,0,0,-1,-1,10,,2026-04-06T14:41:47+01:00
